artist_name,track_name,year,main_genre,chords,intro,verse,chorus,bridge,outro,detected_key,intro_nashville,verse_nashville,chorus_nashville,bridge_nashville,outro_nashville,spotify_song_id,spotify_artist_id,christian_bucket
12 Stones,Anthem For The Underdog,2007,metal,C Amin C Amin Bb Dmin C Bb Dmin C Bb Dmin C Bb F C Amin C Amin Bb Dmin C Bb F C Bb Dmin C Bb F C Bb Dmin C Bb F C Bb Dmin C Bb F C Bb Dmin C Bb F C,,,,,,,,,,,,6FFwt1ea9hJ4MfMQLywahm,0DrXhci3WAyo0WJv1RBOG6,christian
12 Stones,Arms Of A Stranger,2007,metal,E B G D A E F G Amin G F G Amin F G Amin G F G Dno3d Fno3d Gno3d Ano3d Gno3d Fno3d Gno3d Ano3d Gno3d Fno3d Dno3d Ano3d Gno3d Fno3d Gno3d Ano3d F G Amin G F G Amin F G Amin G F G Dno3d Fno3d Gno3d Ano3d Gno3d Fno3d Gno3d Ano3d Gno3d Fno3d Dno3d Ano3d Gno3d Fno3d Gno3d Ano3d F G Amin G F G Amin Gno3d Fno3d Gno3d Ano3d Gno3d Fno3d Gno3d Ano3d Gno3d Fno3d Dno3d Ano3d Gno3d Fno3d Gno3d Ano3d F G Amin G F G Asus2 Amin,,,,,,,,,,,,4M1gzk1dPfDbSQk21uM7ZJ,0DrXhci3WAyo0WJv1RBOG6,christian
12 Stones,Blind,2012,metal,,G D C,G D C G D C G D C G D C Em D C,G C G C Em D C G D C,C G D A C G D A C,G D C,G,1 5 4,1 5 4 1 5 4 1 5 4 1 5 4 6m 5 4,1 4 1 4 6m 5 4 1 5 4,4 1 5 2 4 1 5 2 4,1 5 4,7gPO74m7WFHYgA18ljOw74,0DrXhci3WAyo0WJv1RBOG6,christian
12 Stones,Broken,2002,metal,Dmin Bb Dmin Bb Dmin Bb Dmin Bb Dmin Bb Dmin Bb C Dmin Bb Dmin Bb C Dmin Bb Dmin Bb Dmin Bb Dmin Bb Dmin Bb Dmin Bb C Dmin Bb Dmin Bb C Dmin Bb Dmin Bb Dmin Bb Dmin Bb F Emin F Emin F Emin F Emin F Bb F Bb F Dmin Bb Dmin Bb Dmin Bb Dmin Bb Dmin Bb Dmin Bb C Dmin,,,,,,,,,,,,3Yo9kEVE2UVSVFtxNXK2u2,0DrXhci3WAyo0WJv1RBOG6,christian
12 Stones,Bury Me,2012,metal,Dmin C Bb Dmin C Bb Dmin C Bb Dmin C Bb Dmin C Bb Cno3d Dno3d Fno3d C Bb Fno3d C Bb Dmin C Bb Dno3d Ano3d Bb Cno3d Dno3d Ano3d Bb Csno3d Dno3d Ano3d Bb Cno3d Csno3d Dno3d Ano3d Bb Cno3d Dno3d Ano3d Bb Cno3d Dmin C Bb Dmin C Bb,,,,,,,,,,,,6hVt5LbvkzCMA9C81TpRk4,0DrXhci3WAyo0WJv1RBOG6,christian
12 Stones,Crash,2002,metal,Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin G C D Amin G C D Amin G C D Amin G C D Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin G C D Amin G C D Amin G C D Amin G C D Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin Amin7 Emin C G Amin G C D Amin G C D Amin G C D Amin G C D Amin G C D Amin G C D Amin G C D Amin G C D,,,,,,,,,,,,0487NR3smp6XWZxyq4DVww,0DrXhci3WAyo0WJv1RBOG6,christian
12 Stones,Hey Love,2007,metal,E B G D A E Csmin B Fs A Csmin B Fs A Csmin B Fs A Csmin B Fs A Fs Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csmin B Fs A Csmin B Fs A Csmin B Fs A Csmin B Fs A Csmin B Fs A Fs Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Ano3d Gsno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Csno3d Bno3d Ano3d Gsno3d Bno3d Eno3d Csno3d,,,,,,,,,,,,3LFzNhpnt4mqw8PtK67h1T,0DrXhci3WAyo0WJv1RBOG6,christian
12 Stones,Lerlene,2017,metal,,G D Am C,G D Am C G D Am C G D Am C Em C Em C,G D Am C G D Am C,,,G,1 5 2m 4,1 5 2m 4 1 5 2m 4 1 5 2m 4 6m 4 6m 4,1 5 2m 4 1 5 2m 4,,,5wePaHKQvkHK8Xpr2Lm55x,0DrXhci3WAyo0WJv1RBOG6,christian
12 Stones,Only Human,2012,metal,,C G C Am G Dm Am,C Am C F C Am Am F,C Am G C Am G F Am C F C,Am F C D C D C G Am C Am C F C Am C Am G C Am G F Am C Dm C G C G C G Am F C,Am G F,C,1 5 1 6m 5 2m 6m,1 6m 1 4 1 6m 6m 4,1 6m 5 1 6m 5 4 6m 1 4 1,6m 4 1 2 1 2 1 5 6m 1 6m 1 4 1 6m 1 6m 5 1 6m 5 4 6m 1 2m 1 5 1 5 1 5 6m 4 1,6m 5 4,2F9dOqTIZs6pnel768AvSO,0DrXhci3WAyo0WJv1RBOG6,christian
12 Stones,Running Out Of Pain,2002,metal,C/E B E A/E B E C/E B E A/E B E C/E B E C/E B E,,,,,,,,,,,,3ck65y9gxRGp2S5s4oSnua,0DrXhci3WAyo0WJv1RBOG6,christian
12 Stones,World So Cold,2007,metal,,Em D C,Em D C B Em D C B G D Am B G D Am B,Em D C B Em D C B Em D C Em D C,Em D C Am B Em D C Am B Em D C Am B Em D G C Am B Em C G D Am B,,E minor,1m b7 b6,1m b7 b6 5 1m b7 b6 5 b3 b7 4m 5 b3 b7 4m 5,1m b7 b6 5 1m b7 b6 5 1m b7 b6 1m b7 b6,1m b7 b6 4m 5 1m b7 b6 4m 5 1m b7 b6 4m 5 1m b7 b3 b6 4m 5 1m b6 b3 b7 4m 5,,471eQ7hcJ7JdGY1NzMmUeg,0DrXhci3WAyo0WJv1RBOG6,christian
33Miles,I Loved You Then,2008,rock,,Am G F C/E Am G F C Am G F C/E Am G F C,Am G F C/E Am G F C Am G F C/E Am G F C G Dm F G Dm F G Dm C/E F,C Am F G C Am F G Dm C/E F G Bb F G Am G F C/E Am G F C,Dm C/E F G Dm C/E F G Am G F C/E Am G F Dm,,C,6m 5 4 1/3 6m 5 4 1 6m 5 4 1/3 6m 5 4 1,6m 5 4 1/3 6m 5 4 1 6m 5 4 1/3 6m 5 4 1 5 2m 4 5 2m 4 5 2m 1/3 4,1 6m 4 5 1 6m 4 5 2m 1/3 4 5 b7 4 5 6m 5 4 1/3 6m 5 4 1,2m 1/3 4 5 2m 1/3 4 5 6m 5 4 1/3 6m 5 4 2m,,4TDUjJ1A4MgWkzOMVwK9YF,6wEuQ6YxQqySp78RhpWjRs,christian
38th Parallel,Higher Ground,2002,punk,Dmin F C Dmin F C Dmin F C Dmin F C Dmin F C Dmin F C F D F D Dmin F C Dmin F C Dmin F C Dmin F C Dmin F C Dmin F C Dmin F C Dmin F C Bb Dmin C Bb Dmin C Dmin F C Dmin F C Dmin F C Dmin F C,,,,,,,,,,,,0NbktpkUrNl3j6U7JqDHOX,7iKsdIqgy2s5xMbKiVafjv,christian
