file_name,file_path,title,author,key,verse,pre_chorus,chorus,bridge,full_progression
10000 reasons i3256,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\10000 reasons i3256,"10,000 Reasons","Jonas Myrin, Matt Redman",G,4 1 5 6m 2 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1,,4 1 5 6m 4 1 5 4 6m 4 5 6m 4 5 1,,4 1 5 6m 2 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 4 6m 4 5 6m 4 5 1
a child of the king i11047,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a child of the king i11047,A Child of The King,"Sumner, John Bunnell (1838-1918), Buell, Harriet Eugenia Peck (1834-1910)",Eb,#4 #4 #4 5 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4,,,,#4 #4 #4 5 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4 #4
a great and mighty wonder i11048,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a great and mighty wonder i11048,A Great and Mighty Wonder,"from Altes Catholische Geistliche Kirchengeseng, Köln, 1599, Germanus of Constantinople (634-734)",F,3 3,,,,3 3
a lamb goes uncomplaining forth i11049,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a lamb goes uncomplaining forth i11049,A Lamb Goes Uncomplaining Forth,"Dachstein, Wolfgang Egenolf (circa 1487-1553), Gerhardt, Paul (1607-1676)",F,3 4 3 4 3 3 3 3m 3m 4 4,,,,3 4 3 4 3 3 3 3m 3m 4 4
a little longer i46068,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a little longer i46068,A Little Longer,Bethel Music,E,b3 4 2m 4 b3 4 2m b3 1m 2m 4 4 b3 4,,b3 4 b3 4 1m,b7 4 b3 1m 4 b7 4 4 b3 b7 1m 4 4 b7 4 4 b3 1m b3,b3 4 2m 4 b3 4 2m b3 1m 2m 4 4 b3 4 b3 4 b3 4 1m b7 4 b3 1m 4 b7 4 4 b3 b7 1m 4 4 b7 4 4 b3 1m b3
a love so undeserved i41990,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a love so undeserved i41990,A love so undeserved,Matt Redman,G,5 1 2 5 1 2 5 1 2 5 1 5 5 1 5 1 5 1 2 5 1 5,,5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1,5 1 5 1 5 1 5 1,5 1 2 5 1 2 5 1 2 5 1 5 5 1 5 1 5 1 2 5 1 5 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1
a love that carries me i48410,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a love that carries me i48410,A Love That Carries Me,Rivers & Robots,B,2m 2m 2m b7 6m 2m 2m 2m 2m b7 6m 2m 2m 2m 2m b7 b7 6m 2m 2m 2m b7m 2m 6m 2m 5 2 5 2 5 2 4 5,,6m 2m 6m 2m 6m 2m 6m 2m 6m 2m 6m 2m 6m 2m 6m 2m,2 5 b7 2 5 b7 2 5 b7m b7 2 5 b7m b7,2m 2m 2m b7 6m 2m 2m 2m 2m b7 6m 2m 2m 2m 2m b7 b7 6m 2m 2m 2m b7m 2m 6m 2m 5 2 5 2 5 2 4 5 6m 2m 6m 2m 6m 2m 6m 2m 6m 2m 6m 2m 6m 2m 6m 2m 2 5 b7 2 5 b7 2 5 b7m b7 2 5 b7m b7
a mighty fortress i109760,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a mighty fortress i109760,A Mighty Fortress,HeartSong at Cedarville University,B,b6 b2 b6 b2 b7 4m b2 b6 b2 b7 b6 b2 b6 b2 4m b2 b6 4m b3 b6 b6 b3 4m 4m b3 b6 b2 1m b2 b3 b6 4 b6 b2 b6 b2 4m b2 b6 b2 b6 b2 b6 b2 4m b2 b6 4m b3 b6 b6 b3 4m 4m b3 b6 b2 1m b2 b3 b6 b6 b2 b6 b2 4m b2 b6 b2 b6 b2 b6 b2 4m b2 b6 b6 b2 b6 b2 4m b2 b6,,b2 4m b2 b6 b2 4m b2 b6 b6 b2 4m b7 b2 b6 b6 b2 4m b7 b2 b6 4m b2 b6 4m b2 b6,,b6 b2 b6 b2 b7 4m b2 b6 b2 b7 b6 b2 b6 b2 4m b2 b6 4m b3 b6 b6 b3 4m 4m b3 b6 b2 1m b2 b3 b6 4 b6 b2 b6 b2 4m b2 b6 b2 b6 b2 b6 b2 4m b2 b6 4m b3 b6 b6 b3 4m 4m b3 b6 b2 1m b2 b3 b6 b6 b2 b6 b2 4m b2 b6 b2 b6 b2 b6 b2 4m b2 b6 b6 b2 b6 b2 4m b2 b6 b2 4m b2 b6 b2 4m b2 b6 b6 b2 4m b7 b2 b6 b6 b2 4m b7 b2 b6 4m b2 b6 4m b2 b6
a mighty fortress is our god i1545,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a mighty fortress is our god i1545,A Mighty Fortress Is Our God,"Luther, Martin (1483-1546)",D,b6 b3 b2 b6 4m b6 b2 b3 b6 5 5 b6 b3 b2 b6 4m b6 b2 b3 b6 4m 7 b7 b3 b6 b2 4m 4m 7 b7 b3 4m b7m 1 4m b6 b2 b6 b3 b2 b6 4m b6 b2 b6 b3 b2 b6 4m b6 b2 b3 b6 4m 7 b7 b3 b6 b2 4m 4m 7 b7 b3 4m b7m 1 4m b6 b2 b6 b3 b2 b6 4m b6 b2 b3 b6 b6 b3 b2 b6 4m b6 b2 b3 b6 4m 7 b7 b3 b6 b2 4m 4m 7 b7 b3 4m b7m 1 4m b6 b2 b3 b6 b6 b3 b2 b6 4m b6 b2 b6 b3 b2 b6 4m b6 b2 4m 7 b7 b3 b6 b2 4m 4m 7 b7 b3 4m b7m 1 4m b6 b2,,,,b6 b3 b2 b6 4m b6 b2 b3 b6 5 5 b6 b3 b2 b6 4m b6 b2 b3 b6 4m 7 b7 b3 b6 b2 4m 4m 7 b7 b3 4m b7m 1 4m b6 b2 b6 b3 b2 b6 4m b6 b2 b6 b3 b2 b6 4m b6 b2 b3 b6 4m 7 b7 b3 b6 b2 4m 4m 7 b7 b3 4m b7m 1 4m b6 b2 b6 b3 b2 b6 4m b6 b2 b3 b6 b6 b3 b2 b6 4m b6 b2 b3 b6 4m 7 b7 b3 b6 b2 4m 4m 7 b7 b3 4m b7m 1 4m b6 b2 b3 b6 b6 b3 b2 b6 4m b6 b2 b6 b3 b2 b6 4m b6 b2 4m 7 b7 b3 b6 b2 4m 4m 7 b7 b3 4m b7m 1 4m b6 b2
a strong tower i42033,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a strong tower i42033,A strong tower,"Clinton Utterbach, Clinton Utterbach",D,1 4 5 3m 4 b6 1 4 5 3m 4 1,,4 1 4 1 5 5 1 4 4 1 4 1 5 5 1,,1 4 5 3m 4 b6 1 4 5 3m 4 1 4 1 4 1 5 5 1 4 4 1 4 1 5 5 1
a strong tower i64637,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a strong tower i64637,A strong tower,Clinton Utterbach,F,3,,,,3
a thousand times ive failed i2285,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a thousand times ive failed i2285,A thousand times I've failed,"Joel Houston, Hillsong",C,4 1 5 6 4 1 5 6m 4 1 5 6m 4 1 5,4 1 6m 5 4 6m 5 2m,6m 4 1 5 6m 4 1 5 1 4 5 6m 4 5 4 5,,4 1 5 6 4 1 5 6m 4 1 5 6m 4 1 5 4 1 6m 5 4 6m 5 2m 6m 4 1 5 6m 4 1 5 1 4 5 6m 4 5 4 5
a very merry christmas i99149,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a very merry christmas i99149,A Very Merry Christmas,Planetshakers,Eb,4 6m 5 1 4 6m 5 1 #4 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 #4 4 6m 5 1 4 6m 5 1 5,4 5 4 5,1 2m 4 #4 6m 1 4 #4 6m 1 4 1 2m 4 #4 1,,4 6m 5 1 4 6m 5 1 #4 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 #4 4 6m 5 1 4 6m 5 1 5 4 5 4 5 1 2m 4 #4 6m 1 4 #4 6m 1 4 1 2m 4 #4 1
a world undone i3296,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a world undone i3296,A world undone,Dan Smith,C,4 6m 6 6m 1 1 4 6m 6 5,,1 1 6m 4 1 1 6m 4,5 6m 4,4 6m 6 6m 1 1 4 6m 6 5 1 1 6m 4 1 1 6m 4 5 6m 4
abba father i41965,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abba father i41965,Abba Father,Shaun Groves,E,1 4 2m 5 1 4 2m 5,,1 4 2m 5 1 4 2m 5,,1 4 2m 5 1 4 2m 5 1 4 2m 5 1 4 2m 5
abba i25677,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abba i25677,Abba,Bethel Music,Bb,1 4 1 4 1 1 4 1 1 4 1 1 4 1 2m 1 1 4 1 2m 1 4 1 4 2m 6m 5 2m 6m 5 7 7 2m 6m 5 4 2m 7 1 1 4 7 7 1 4 7,,,,1 4 1 4 1 1 4 1 1 4 1 1 4 1 2m 1 1 4 1 2m 1 4 1 4 2m 6m 5 2m 6m 5 7 7 2m 6m 5 4 2m 7 1 1 4 7 7 1 4 7
abide with me i1526,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abide with me i1526,Abide With Me,"Monk, William Henry (1823-1889), Lyte, Henry F. (1793-1847)",Eb,#4 #4 5 5 #4 5,,,,#4 #4 5 5 #4 5
above all else i41967,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\above all else i41967,Above All Else,Vicky Beeching,D,1 6m 2m 1 4 b6 1,2m 1 4 b6 5,1 1 2m 5 1 1 2m b6 1,,1 6m 2m 1 4 b6 1 2m 1 4 b6 5 1 1 2m 5 1 1 2m b6 1
across the universe i48076,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\across the universe i48076,Across The Universe,Mosaic MSC,A,1 6m 5 7m 1 6m 5 7m 1 6m 5 7m 1 6m 5 1 6m 5 7m 1 6m 5 7m 1 6m 5 7m,,1 6m 3m 1 6m 3m,1 6m 3m 1 6m 3m,1 6m 5 7m 1 6m 5 7m 1 6m 5 7m 1 6m 5 1 6m 5 7m 1 6m 5 7m 1 6m 5 7m 1 6m 3m 1 6m 3m 1 6m 3m 1 6m 3m
