song_id,popularity,danceability,energy,spotify_key,loudness,spotify_mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
13,32,0.616,0.884,0,-2.771,1,0.0317,0.000202,0.0,0.362,0.655,124.994,187787,4
44,28,0.415,0.572,10,-6.352,1,0.0288,0.0232,0.0,0.203,0.366,147.888,240347,4
110,25,0.229,0.467,8,-5.752,1,0.0327,0.281,0.0,0.108,0.0992,174.051,459747,3
122,52,0.388,0.568,4,-9.395,1,0.0338,0.624,1.64e-06,0.715,0.207,107.965,321933,4
141,51,0.5,0.648,8,-7.078,1,0.0326,0.00728,0.0,0.12,0.24,145.901,242276,4
154,35,0.383,0.46,2,-7.608,1,0.0327,0.22,0.0,0.158,0.185,75.415,230573,4
178,40,0.583,0.335,9,-12.184,1,0.0366,0.619,0.0,0.115,0.496,87.976,211328,4
180,41,0.33,0.444,0,-9.476,1,0.0316,0.884,0.00152,0.0882,0.103,149.878,407528,3
193,48,0.357,0.793,2,-5.096,1,0.0821,0.0218,1.47e-06,0.537,0.387,174.364,218400,4
206,36,0.43,0.563,8,-7.583,1,0.0323,0.1,0.000556,0.0722,0.0892,114.948,370813,4
214,32,0.524,0.291,4,-10.74,1,0.0287,0.895,0.0,0.103,0.329,133.967,188133,4
219,47,0.487,0.547,5,-7.74,1,0.0281,0.0307,5.61e-06,0.13,0.125,144.06,324680,4
229,41,0.446,0.624,2,-7.978,1,0.0298,0.00324,0.0,0.21,0.211,139.958,335849,4
232,38,0.385,0.274,5,-9.2,1,0.0302,0.484,0.0,0.0996,0.245,96.921,225367,4
303,56,0.42,0.515,3,-6.036,1,0.0335,0.0994,0.0,0.102,0.372,155.787,214467,4
305,48,0.471,0.64,4,-6.427,1,0.029,0.439,0.0,0.154,0.329,85.098,213907,4
313,26,0.485,0.969,7,-4.19,0,0.144,0.0078,0.0,0.314,0.535,170.015,192383,4
315,44,0.477,0.503,2,-8.93,1,0.027,0.145,0.0,0.065,0.199,106.889,312593,4
337,32,0.518,0.763,0,-5.774,0,0.115,0.509,0.0,0.0745,0.618,121.681,451100,4
389,28,0.629,0.677,8,-7.459,1,0.0379,0.48,0.000524,0.25,0.701,127.216,178520,4
423,40,0.448,0.938,6,-4.158,0,0.0923,0.00217,0.0,0.273,0.316,164.998,239427,4
453,44,0.328,0.442,0,-11.287,1,0.0428,0.868,4.03e-05,0.129,0.17,113.947,229333,4
507,35,0.595,0.69,10,-5.997,1,0.0516,0.124,3.74e-05,0.113,0.573,76.965,232386,4
519,30,0.453,0.889,8,-4.92,1,0.0759,0.000289,0.0,0.358,0.38,96.913,193493,4
549,12,0.602,0.434,9,-7.451,1,0.0277,0.641,0.0,0.246,0.378,141.951,239467,4
550,47,0.304,0.555,3,-8.33,1,0.0433,0.38,0.0,0.151,0.0827,141.747,329440,4
555,35,0.519,0.95,9,-2.59,1,0.068,0.0269,0.0,0.338,0.753,84.89,168173,4
568,44,0.517,0.883,1,-4.781,1,0.0592,4.17e-06,0.0,0.501,0.351,122.1,234067,4
574,32,0.574,0.868,9,-4.914,1,0.249,0.0133,2.39e-05,0.731,0.425,132.037,393307,4
579,34,0.482,0.825,9,-5.552,1,0.0568,0.298,0.000469,0.0837,0.39,78.025,181548,4
592,13,0.491,0.245,10,-6.81,1,0.0294,0.628,0.0,0.283,0.247,139.551,186507,3
601,25,0.555,0.384,5,-9.711,1,0.0276,0.881,0.00115,0.13,0.392,91.942,205141,4
641,48,0.588,0.378,6,-4.912,1,0.0298,0.866,1.86e-06,0.127,0.321,121.826,244213,4
646,12,0.772,0.482,9,-12.401,1,0.154,0.114,0.0,0.0405,0.893,81.204,179080,4
647,46,0.297,0.33,5,-11.229,1,0.0318,0.106,0.000103,0.0574,0.171,140.293,318120,4
665,59,0.319,0.703,1,-4.67,0,0.0407,0.167,0.0,0.258,0.196,135.774,297379,4
673,42,0.556,0.815,2,-4.924,1,0.0779,0.0068,0.0,0.118,0.362,95.019,218136,4
686,26,0.254,0.914,10,-5.283,0,0.0422,8.48e-06,0.0,0.105,0.686,141.302,160840,4
695,53,0.26,0.484,7,-6.121,1,0.0399,0.526,0.0,0.103,0.143,197.685,318560,3
759,39,0.54,0.939,5,-3.33,1,0.0536,0.0839,0.0,0.281,0.847,159.999,188573,4
795,54,0.576,0.684,8,-5.443,0,0.0416,0.691,0.0,0.182,0.94,115.533,162313,4
806,37,0.28,0.571,5,-12.126,0,0.0403,0.498,0.02,0.0822,0.134,78.978,353893,4
808,37,0.257,0.221,2,-18.117,1,0.0311,0.75,0.958,0.0811,0.039,109.164,169454,4
812,36,0.537,0.421,0,-9.74,1,0.134,0.467,0.0,0.613,0.493,128.713,501344,4
815,44,0.651,0.818,0,-6.264,1,0.0508,0.0208,0.0,0.329,0.577,112.024,521933,4
820,51,0.339,0.699,1,-5.984,1,0.0305,0.0275,0.0,0.101,0.14,172.026,269001,3
824,44,0.516,0.321,3,-12.192,1,0.0755,0.678,0.00412,0.243,0.748,180.041,132530,4
825,24,0.461,0.914,5,-4.907,1,0.458,0.158,0.0,0.0874,0.641,194.218,282627,4
835,44,0.44,0.644,6,-7.809,1,0.0377,0.306,0.000233,0.0968,0.305,89.82,346750,4
854,27,0.748,0.603,0,-7.844,1,0.038,0.449,1.85e-06,0.132,0.83,143.184,194907,4
885,50,0.359,0.614,3,-5.066,1,0.0293,0.0593,0.0,0.0867,0.135,147.858,275960,3
889,10,0.574,0.85,5,-3.864,0,0.123,0.427,0.0,0.0979,0.85,184.964,182440,4
944,22,0.517,0.948,5,-4.214,1,0.0461,9.96e-06,0.00285,0.0917,0.625,134.978,234295,3
945,23,0.527,0.939,2,-5.014,1,0.038,3.66e-05,0.00126,0.0792,0.587,136.039,261928,4
946,25,0.634,0.911,2,-4.942,1,0.0304,0.00109,2.8e-05,0.0923,0.43,89.945,234675,4
947,23,0.601,0.904,2,-4.904,1,0.033,2.37e-05,0.0036,0.0794,0.431,117.003,252232,4
948,27,0.537,0.946,7,-4.502,1,0.0339,2.44e-05,0.00224,0.0942,0.355,90.021,240013,4
949,35,0.567,0.919,2,-5.078,1,0.0605,9.71e-06,0.035,0.0815,0.458,104.002,233686,4
951,27,0.476,0.837,2,-4.933,1,0.0379,0.0034,3.1e-05,0.101,0.458,171.993,293461,4
968,47,0.506,0.838,3,-3.723,0,0.0492,0.000504,3.32e-06,0.135,0.171,125.07,196160,4
991,31,0.657,0.864,10,-4.266,1,0.0488,0.000172,0.0,0.105,0.734,110.014,209827,4
1002,32,0.184,0.846,6,-4.517,0,0.156,0.000178,0.00089,0.428,0.11,175.97,273147,4
1021,38,0.586,0.252,6,-10.015,1,0.0369,0.809,0.0,0.116,0.187,116.035,207627,4
1074,59,0.392,0.702,0,-5.242,1,0.0287,0.00282,0.0,0.144,0.251,160.037,265653,4
1112,53,0.282,0.775,9,-5.33,1,0.0446,0.00428,0.0,0.35,0.224,82.702,416324,4
1119,57,0.461,0.535,5,-6.866,1,0.0578,0.334,0.0,0.0988,0.183,79.474,221400,4
1123,28,0.406,0.888,8,-4.64,1,0.214,0.000202,0.069,0.0832,0.149,122.12,208200,4
1131,53,0.353,0.377,0,-10.163,1,0.0306,0.412,0.0,0.236,0.263,136.47,286765,4
1134,26,0.406,0.955,5,-3.317,0,0.0675,0.00214,0.0,0.0954,0.462,168.062,238526,4
1154,49,0.453,0.373,5,-8.127,1,0.0287,0.821,0.0,0.11,0.0783,79.999,328318,4
1176,17,0.391,0.61,11,-11.303,0,0.0588,0.272,0.000898,0.059,0.282,149.082,259223,4
1199,48,0.265,0.502,0,-10.039,1,0.0588,0.276,0.0,0.0941,0.296,143.449,558921,4
1205,53,0.586,0.783,10,-3.684,1,0.026,0.0617,0.0,0.129,0.483,95.932,220000,4
1206,44,0.293,0.996,8,-4.354,1,0.167,7.7e-05,0.0151,0.112,0.269,175.094,282533,4
1209,38,0.309,0.621,3,-7.625,0,0.066,0.184,0.0,0.196,0.185,109.297,520920,3
1259,53,0.596,0.752,10,-5.342,1,0.0454,0.0335,0.0,0.104,0.382,96.426,175213,4
1260,31,0.341,0.619,2,-10.461,1,0.0368,0.696,0.243,0.137,0.0539,144.022,280570,4
1262,52,0.731,0.635,5,-6.429,1,0.0508,0.197,0.0,0.0447,0.454,125.93,238838,4
1288,43,0.415,0.733,0,-7.731,1,0.0677,0.0594,0.000331,0.108,0.254,148.069,238431,4
1290,28,0.345,0.843,9,-6.062,0,0.128,0.000437,0.758,0.13,0.193,176.069,244787,4
1330,29,0.632,0.947,1,-4.518,0,0.152,0.00538,0.0,0.121,0.79,109.892,182573,4
1366,31,0.409,0.282,0,-12.667,1,0.0301,0.977,0.899,0.121,0.193,142.911,63196,4
1395,7,0.583,0.226,5,-8.89,1,0.0318,0.777,0.0,0.0962,0.502,111.8,231200,4
1417,35,0.495,0.828,1,-6.064,1,0.0514,0.0121,0.0,0.0932,0.141,129.9,229322,4
1420,41,0.541,0.905,4,-4.349,0,0.0698,0.000387,0.0,0.385,0.611,95.986,180533,4
1459,38,0.696,0.33,0,-8.891,1,0.0402,0.789,0.0,0.616,0.659,139.809,186030,4
1466,31,0.299,0.921,8,-4.966,1,0.133,9.68e-06,0.0,0.435,0.355,171.967,164147,3
1557,44,0.41,0.867,2,-7.985,1,0.0946,0.253,0.0,0.0601,0.289,151.915,296617,4
1565,49,0.745,0.621,0,-6.109,0,0.314,0.389,0.0,0.174,0.63,82.51,166963,4
1566,43,0.276,0.766,9,-5.202,1,0.0387,0.000465,7.25e-06,0.0874,0.19,167.92,234467,4
1584,31,0.558,0.396,10,-9.717,1,0.0292,0.561,4.78e-06,0.154,0.539,108.002,179339,4
1588,14,0.674,0.498,9,-11.248,1,0.0459,0.22,0.0,0.0988,0.571,103.989,240072,4
1590,47,0.535,0.432,0,-8.161,1,0.0321,0.387,0.0,0.113,0.285,102.168,264430,4
1600,42,0.453,0.412,2,-7.748,1,0.0273,0.855,0.0,0.0823,0.132,100.034,295177,3
1617,36,0.261,0.95,10,-5.378,0,0.437,0.00031,0.000144,0.329,0.0682,177.967,257133,3
1653,33,0.533,0.951,2,-2.734,0,0.159,0.0613,0.0,0.333,0.764,159.979,246787,4
1654,50,0.412,0.371,0,-8.831,1,0.0336,0.435,0.0,0.117,0.206,129.409,378077,3
1662,52,0.724,0.585,8,-8.994,1,0.191,0.275,0.0,0.172,0.342,139.964,200572,4
1668,40,0.515,0.621,0,-6.599,1,0.0324,0.259,7.45e-06,0.179,0.348,131.985,371621,4
1681,35,0.549,0.77,0,-4.741,1,0.0344,0.0352,0.0,0.204,0.344,81.012,210947,4
1717,33,0.592,0.852,11,-4.223,1,0.0426,0.011,5.68e-05,0.35,0.43,149.941,274160,4
1729,50,0.374,0.508,6,-7.884,0,0.0337,0.764,1.06e-06,0.0776,0.149,147.002,449551,3
1744,42,0.432,0.58,11,-8.739,1,0.0314,0.0439,1.61e-05,0.941,0.145,176.02,336009,4
1776,16,0.401,0.109,5,-15.907,1,0.0366,0.881,0.0,0.109,0.351,70.312,135067,4
1827,13,0.581,0.735,2,-3.812,1,0.0287,0.0744,0.0,0.0786,0.565,151.857,200871,4
1865,35,0.491,0.597,10,-8.459,1,0.03,0.368,7.31e-06,0.175,0.332,136.032,259014,3
1879,41,0.539,0.817,11,-5.508,0,0.0784,0.000297,0.0,0.227,0.568,157.992,248866,4
1905,55,0.528,0.316,7,-12.233,1,0.0297,0.895,0.000311,0.0831,0.299,143.667,167856,4
1976,53,0.425,0.695,9,-7.93,1,0.0477,0.00438,0.0,0.691,0.243,142.11,353547,4
2035,34,0.395,0.701,2,-4.128,1,0.0804,0.381,0.000171,0.116,0.852,200.991,232600,4
2045,50,0.375,0.466,1,-7.64,0,0.0297,0.57,0.0,0.163,0.04,80.136,459222,4
2048,31,0.444,0.707,2,-7.392,1,0.038,0.000246,0.0,0.301,0.579,165.937,206027,4
2053,40,0.669,0.676,9,-10.027,0,0.0473,0.0311,8.7e-06,0.0741,0.736,112.535,311120,4
2055,9,0.448,0.362,5,-8.495,1,0.0268,0.57,0.0,0.296,0.126,141.791,215813,4
2065,31,0.385,0.861,7,-4.97,1,0.0451,0.0379,0.0,0.225,0.616,159.906,233080,4
2066,23,0.583,0.149,0,-11.409,1,0.0273,0.917,0.000359,0.108,0.233,85.986,248133,4
2107,50,0.435,0.322,11,-8.871,1,0.029,0.586,0.0,0.121,0.281,137.8,193040,4
2114,36,0.669,0.487,0,-9.86,1,0.0495,0.436,0.000142,0.0641,0.527,151.937,232483,4
2152,14,0.434,0.468,4,-11.567,0,0.0257,0.695,0.00586,0.118,0.534,85.959,211588,4
2161,24,0.761,0.192,0,-10.445,1,0.0305,0.765,0.0,0.11,0.437,105.982,164000,4
2162,40,0.447,0.924,9,-7.164,1,0.083,0.00139,0.0,0.972,0.272,142.03,382573,4
2173,32,0.488,0.46,10,-6.497,1,0.0265,0.204,0.0,0.165,0.225,114.065,303133,4
