id,spotify_song_id,title,artist_name,spotify_artist_id,release_date,year,genre,main_genre,source_genres,decade,rock_genre,country,source_status,has_complete_structure,has_section_markers,created_at,updated_at
13,62uFDbyzIZLSIlbtsP21Go,Go Glow,Newsboys,1SZMaiNHfdUuU0qZKZ6y62,2013-01-01,2013,alt-rock,rock,'ccm' 'christian alternative rock' 'christian music',2010.0,christian alternative rock,,imported,1,1,2026-04-01 00:17:54,2026-04-01 00:17:54
44,6vlSHQuawej3vHxOr3cqjb,Your Great Name,Todd Agnew,57swDg4BNcQS73YIJCchnf,2012-03-06,2012,alt-rock,rock,'ccm' 'christian alternative rock' 'christian music',2010.0,christian alternative rock,,imported,1,1,2026-04-01 00:17:54,2026-04-01 00:17:54
110,4qw9bLpVrIRaWzINNs1A8J,Covered - Deluxe,Israel & New Breed,77HU1Zb1VDIFvWKteJii0E,2015-07-24,2015,gospel,,'gospel',2010.0,,,imported,1,1,2026-04-01 00:17:55,2026-04-01 00:17:55
122,4um6ZMnib1I7VuG3c6jGm5,Open The Eyes Of My Heart - Live,Michael W. Smith,5aBxFPaaGk9204ssHUvXWN,2001,2001,alt-rock,rock,'ccm' 'christian alternative rock' 'christian music',2000.0,christian alternative rock,,imported,1,1,2026-04-01 00:17:55,2026-04-01 00:17:55
141,5A0cXHpFYgP4Hk5NLwmPQs,Always Only Jesus,MercyMe,6APm8EjxOHSYM5B4i3vT3q,2022-10-21,2022,alt-rock,alternative,'ccm' 'christian alternative rock' 'christian indie' 'christian music',2020.0,christian alternative rock,,imported,1,1,2026-04-01 00:17:55,2026-04-01 00:17:55
154,0EPLal3Ct89PBagKZ8nS5I,At Your Feet (Surrender),Dan Bremnes,235ZVf4thM2FFfyE4ACwB3,,2015,indie-pop,alternative,'canadian ccm' 'ccm' 'christian alternative rock' 'christian indie' 'christian pop',,christian alternative rock,,imported,1,1,2026-04-01 00:17:55,2026-04-01 00:17:55
178,2LBcgkrR59qVYgwyuzy5Wg,Worst Days,CalledOut Music,3VY7IlU2547DIC1ca88lRH,2023-01-27,2023,afrobeat,,'christian afrobeat',2020.0,,,imported,1,1,2026-04-01 00:17:55,2026-04-01 00:17:55
180,2jyxEr79vT4NwtRrLaBM5X,Temple,Jeremy Riddle,6jZbQXvNtDjnj18yoHMuvi,2022-11-11,2022,alt-rock,,'ccm' 'christian music' 'deep ccm' 'world worship' 'worship',2020.0,,,imported,1,1,2026-04-01 00:17:55,2026-04-01 00:17:55
193,6tbDvXVbqENripiP4beZpj,I've Got Joy,CeCe Winans,3qfrrrSO7utFdJkM2tvMRb,2022-04-01,2022,gospel,,'gospel',2020.0,,,imported,1,1,2026-04-01 00:17:56,2026-04-01 00:17:56
206,37Wc5i9p8rSshwILNKSG9P,Shepherd - Live,Bethel Music,26T4yOaOoFJvUvxR87Y9HO,2014-04-21,2014,ambient,,'ambient worship' 'ccm' 'deep ccm' 'world worship' 'worship',2010.0,,,imported,1,1,2026-04-01 00:17:56,2026-04-01 00:17:56
214,103fnn1xPjiaTLwNgCEu8p,Stand Still,The Isaacs,7Gr7Uulfyw9J9F74eQfBOp,,2001,gospel,,'bluegrass gospel' 'family gospel' 'southern gospel',,,,imported,1,1,2026-04-01 00:17:56,2026-04-01 00:17:56
219,6uKEqHuYJSTJzXVpsyYEIc,Holy Forever,Bethel Music,26T4yOaOoFJvUvxR87Y9HO,2023-03-17,2023,ambient,,'ambient worship' 'ccm' 'deep ccm' 'world worship' 'worship',2020.0,,,imported,1,1,2026-04-01 00:17:56,2026-04-01 00:17:56
229,3Qh7WTXJYgxVG0lr2TUK6o,Lamb of God - Live,Matt Redman,0bz9hDpUbAw5JElgEiuIYZ,2023-02-03,2023,alt-rock,rock,'ccm' 'christian alternative rock' 'christian music',2020.0,christian alternative rock,,imported,0,0,2026-04-01 00:17:56,2026-04-01 00:17:56
232,17it5wfXOeMzTiid9xMGye,Halfway Empty - Live,Matt Redman,0bz9hDpUbAw5JElgEiuIYZ,2023-01-20,2023,alt-rock,rock,'ccm' 'christian alternative rock' 'christian music',2020.0,christian alternative rock,,imported,1,1,2026-04-01 00:17:56,2026-04-01 00:17:56
303,3BJI1xTy9flJ2Ry8vyIIRY,180,Jordan Feliz,0TgNiaeQaWssaH9aWjbqnA,2018-03-23,2018,alt-rock,alternative,'ccm' 'christian alternative rock' 'christian indie' 'christian music',2010.0,christian alternative rock,,imported,1,1,2026-04-01 00:17:57,2026-04-01 00:17:57
305,5yR0deCdsi81cMt1cjdION,Everlasting Arms,Mac Powell,5X77nNxT45eR0OshjmAvKa,2021-10-15,2021,alt-rock,rock,'ccm' 'christian alternative rock' 'christian music',2020.0,christian alternative rock,,imported,1,1,2026-04-01 00:17:57,2026-04-01 00:17:57
313,3HKkb4rtqfK0E6cdj8U7fS,The League Of Incredible Vegetables - Theme,Newsboys,1SZMaiNHfdUuU0qZKZ6y62,2012-09-11,2012,alt-rock,rock,'ccm' 'christian alternative rock' 'christian music',2010.0,christian alternative rock,,imported,1,1,2026-04-01 00:17:57,2026-04-01 00:17:57
315,3MS8o3UWQkGdFmhQ8vrFDP,Psalm 139 (Far Too Wonderful),Shane & Shane,2LFbgsbEhfilNpQYW7mied,,2015,alt-rock,rock,'ccm' 'christian alternative rock' 'christian music' 'roots worship' 'worship',,christian alternative rock,,imported,1,1,2026-04-01 00:17:57,2026-04-01 00:17:57
337,1XAgtecMpxM88RslvV0b7v,Counting My Blessings - Live,Tasha Cobbs Leonard,5YxebzzreNswbtYC1td4cx,2022-10-07,2022,gospel,,'gospel' 'naija worship',2020.0,,,imported,1,1,2026-04-01 00:17:57,2026-04-01 00:17:57
389,2ZwePkPRoiJbEG3XjlbVZO,Somebody Touched Me,The Stanley Brothers,0qqGnmHBX2yVvCITRAvuRD,,2007,country,country,'banjo' 'bluegrass' 'bluegrass gospel' 'country gospel' 'traditional country',,,,imported,1,1,2026-04-01 00:17:58,2026-04-01 00:17:58
423,0ete13oTmYlKCyDiv7NUXe,The Part That Hurts The Most (Is Me),Thousand Foot Krutch,6GfiCQDFYANz5wUkSmb3Dr,2009-01-01,2009,alt-rock,metal,'alternative metal' 'canadian ccm' 'canadian metal' 'canadian rock' 'christian alternative rock' 'christian rock' 'rap metal',2000.0,christian rock,,imported,1,1,2026-04-01 00:17:58,2026-04-01 00:17:58
453,1SykPFhcDwSVrZlgP8z9bW,Single Mind,Jeremy Riddle,6jZbQXvNtDjnj18yoHMuvi,2022-11-11,2022,alt-rock,,'ccm' 'christian music' 'deep ccm' 'world worship' 'worship',2020.0,,,imported,1,1,2026-04-01 00:17:58,2026-04-01 00:17:58
507,34RNP2a6nOtPSRuaHXT65z,Forgivable,MercyMe,6APm8EjxOHSYM5B4i3vT3q,2022-10-21,2022,alt-rock,alternative,'ccm' 'christian alternative rock' 'christian indie' 'christian music',2020.0,christian alternative rock,,imported,1,1,2026-04-01 00:17:59,2026-04-01 00:17:59
519,2mnetWwaoIzjnto06QLLRX,Gave It All Away,Red,01crEa9G3pNpXZ5m7wuHOk,2006-06-06,2006,alt-rock,alternative,'alternative metal' 'christian alternative rock' 'christian rock' 'post-grunge',2000.0,christian rock,,imported,1,1,2026-04-01 00:17:59,2026-04-01 00:17:59
549,7wUPit0SNT9zAOOzQO4VZk,Best Friends,Doyle Lawson & Quicksilver,0yCkCJaSvA88lfongkpnXT,2016-08-07,2016,gospel,,'banjo' 'bluegrass' 'bluegrass gospel',2010.0,,,imported,1,1,2026-04-01 00:17:59,2026-04-01 00:17:59
550,6AcReG4UWPWnNDhIYMTZV2,Worthy Of It All - Live,CeCe Winans,3qfrrrSO7utFdJkM2tvMRb,,2021,gospel,,'gospel',,,,imported,1,1,2026-04-01 00:17:59,2026-04-01 00:17:59
555,04Un5OieAYAN7e1bMakd0w,Last Words,Thousand Foot Krutch,6GfiCQDFYANz5wUkSmb3Dr,2003-01-01,2003,alt-rock,metal,'alternative metal' 'canadian ccm' 'canadian metal' 'canadian rock' 'christian alternative rock' 'christian rock' 'rap metal',2000.0,christian rock,,imported,0,0,2026-04-01 00:17:59,2026-04-01 00:17:59
568,3YPWVgir0F518e3d2X4E4w,Who We Are,Red,01crEa9G3pNpXZ5m7wuHOk,2011-02-01,2011,alt-rock,alternative,'alternative metal' 'christian alternative rock' 'christian rock' 'post-grunge',2010.0,christian rock,,imported,1,1,2026-04-01 00:17:59,2026-04-01 00:17:59
574,0FKLNnBomURjpw6pKIvS3E,Wrong About You (Live),Israel & New Breed,77HU1Zb1VDIFvWKteJii0E,2022-09-09,2022,gospel,,'gospel',2020.0,,,imported,1,1,2026-04-01 00:17:59,2026-04-01 00:17:59
579,1MWwldBWiTQDVIkaT3HOF2,Jesus You Are,Mac Powell,5X77nNxT45eR0OshjmAvKa,2021-10-15,2021,alt-rock,rock,'ccm' 'christian alternative rock' 'christian music',2020.0,christian alternative rock,,imported,1,1,2026-04-01 00:17:59,2026-04-01 00:17:59
592,0r5K1ngc0qamoOhijPotcW,He Made The Tree,Doyle Lawson & Quicksilver,0yCkCJaSvA88lfongkpnXT,2014-07-15,2014,gospel,,'banjo' 'bluegrass' 'bluegrass gospel',2010.0,,,imported,1,1,2026-04-01 00:18:00,2026-04-01 00:18:00
601,11V4EAkOeojwgrJdMzNGIZ,Run to Jesus,The Clark Family,30KnZHK1nRRvHgZVJFXjpI,2021-07-21,2021,gospel,,'family gospel',2020.0,,,imported,1,1,2026-04-01 00:18:00,2026-04-01 00:18:00
641,0RRJ2PHFSCyBaaydDHOv1u,Hello,Sohyang,2TCV57G47ttyy1JsVyucXg,2020-09-28,2020,k-pop,pop,'korean ost' 'korean pop',2010.0,,,imported,1,1,2026-04-01 00:18:00,2026-04-01 00:18:00
646,1FrxShVjmv3HKDR2D5MQ0o,I'm Glad You're Mine,Al Green,3dkbV4qihUeMsqN4vBGg93,2013,2013,blues,soul,'classic soul' 'funk' 'memphis soul' 'soul' 'soul blues' 'southern soul',2010.0,,,imported,1,1,2026-04-01 00:18:00,2026-04-01 00:18:00
647,7IKax3Xr0hNeWj3jqlQtCl,Beauty,Bethel Music,26T4yOaOoFJvUvxR87Y9HO,2023-03-17,2023,ambient,,'ambient worship' 'ccm' 'deep ccm' 'world worship' 'worship',2020.0,,,imported,1,1,2026-04-01 00:18:00,2026-04-01 00:18:00
665,6YdwvVHRupTTI4tLPNaKvL,Hino da Vitória,Gabriela Rocha,4fdCGYM7dtJLa3LvR1ccto,2022-02-22,2022,gospel,,'adoracao' 'brazilian gospel',2020.0,,,imported,1,1,2026-04-01 00:18:00,2026-04-01 00:18:00
673,2oa1yk0s2qAI96mujqF9Ea,I Still Believe You're Good,Newsboys,1SZMaiNHfdUuU0qZKZ6y62,2021-10-01,2021,alt-rock,rock,'ccm' 'christian alternative rock' 'christian music',2020.0,christian alternative rock,,imported,0,0,2026-04-01 00:18:00,2026-04-01 00:18:00
