title,artist,song_key,display_key,intro,pre_chorus,chorus,bridge,outro,full_progression
Things I Prayed For,Eli Stone,D,D,,,b7 1 2m b7 b7 1 2m 5 b7 b7 1 2m b7 b7 1 2m 5 b7 1 2m b7 4,,,b7 1 2m b7 b7 1 2m 5 b7 b7 1 2m b7 b7 1 2m 5 b7 1 2m b7 4
Stand,Eli,A,A,1 6m 5 4,6m 5 2m 5,6m 5 2m 5 4 5 6m 4 4 5 6m 4 4 5 1 6m 5 4,,,1 6m 5 4 6m 5 2m 5 6m 5 2m 5 4 5 6m 4 4 5 6m 4 4 5 1 6m 5 4
Echo,Elevation Worship feat. Tauren Wells,Bm,D,b6 6m 4 1,b6 6m 4 1 b6 6m 4 4,b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1,,,b6 6m 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1
Echo,Elevation Worship feat. Tauren Wells,D,D,1 b6 6m 4 1,b6 6m 4 1 b6 6m 4 4,b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1,,,1 b6 6m 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1
All Things,Elevation Worship,Gb,Gb,1 5,,5 1 5 1 5 1 5 2 1 2 1 2 1 2 1,1 2 3m 2 1 2 3m 2,,1 5 5 1 5 1 5 1 5 2 1 2 1 2 1 2 1 1 2 3m 2 1 2 3m 2
All Things New,Elevation Worship,Gb,Gb,1 5,,2 1 2 1 2 1 2 1 5 1 5 1 5 1 5,1 2 3m 2 1 2 3m 2,,1 5 2 1 2 1 2 1 2 1 5 1 5 1 5 1 5 1 2 3m 2 1 2 3m 2
Already Won,Elevation Worship,F,F,1 5 6m 4,5 6m 4 5 6m 4,5 6m 4 5 6m 4 1 3m 6m 4 1 3m 6m 4 6m 5 6m 1 2m 1 4,,,1 5 6m 4 5 6m 4 5 6m 4 5 6m 4 5 6m 4 1 3m 6m 4 1 3m 6m 4 6m 5 6m 1 2m 1 4
Awaken,Elevation Worship,Gb,Gb,,,1 2m b7 1 2m b7 1 2m b7 1 2m b7,,,1 2m b7 1 2m b7 1 2m b7 1 2m b7
Be Lifted High,Elevation Worship,E,E,,,#4 b2 b3m 7,b6m 7 #4 b2 b6m 7 #4 b2,,#4 b2 b3m 7 b6m 7 #4 b2 b6m 7 #4 b2
Blessed Assurance,Elevation Worship,C,C,,,1 4 1 6m 4 b6 5 1 4 1 2m 5 4 4 1 4 6m 4 1 4 1 4 1 4 6m 4 1,,,1 4 1 6m 4 b6 5 1 4 1 2m 5 4 4 1 4 6m 4 1 4 1 4 1 4 6m 4 1
Blessed Assurance,Elevation Worship,Eb,Eb,4 1 4 1,,1 4 1 6m 4 5 1 4 1 2m 5 4 1 4 1 4 6m 4 1 4 1 4 1 4 6m 4 1 3 4 1 4 1 4,,,4 1 4 1 1 4 1 6m 4 5 1 4 1 2m 5 4 1 4 1 4 6m 4 1 4 1 4 1 4 6m 4 1 3 4 1 4 1 4
Call Upon The Lord,Elevation Worship,C,C,,,1 5 4 6m 1 4 1 5 4 6m 1 4 1 1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1,6m 4 1 1 4 1 5 6m 4 1 1 4 1 5,,1 5 4 6m 1 4 1 5 4 6m 1 4 1 1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1 6m 4 1 1 4 1 5 6m 4 1 1 4 1 5
Call Upon The Lord,Elevation Worship,C,C,,,1 5 4 6m 1 4 1 5 4 6m 1 4 1,6m 4 1 4 1 5 6m 4 1 1 4 1 5,,1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1 4 1 5 6m 4 1 1 4 1 5
Call Upon The Lordcall,Elevation Worship,C,C,1 4 1,,1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1 6m 4 1,6m 4 1 1 4 b6 5 6m 4 1 1 4 b6 5,,1 4 1 1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1 6m 4 1 6m 4 1 1 4 b6 5 6m 4 1 1 4 b6 5
Como En El Cielo (Here As In Heaven),Elevation Worship,G,G,1 5 1 5 1 5 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 3m 2 1 3m 2 2 1 5 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 3m 2 1 3m 2 2 1 3m 2 1 3m 2 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 6m 2 3m 2 1 6m 2 3m 2 1 6m 2 3m 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1,,,,,1 5 1 5 1 5 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 3m 2 1 3m 2 2 1 5 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 3m 2 1 3m 2 2 1 3m 2 1 3m 2 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 6m 2 3m 2 1 6m 2 3m 2 1 6m 2 3m 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1
