artist_name,track_name,year,main_genre,chords,intro,verse,chorus,bridge,outro,detected_key,intro_nashville,verse_nashville,chorus_nashville,bridge_nashville,outro_nashville,spotify_song_id,spotify_artist_id,christian_bucket
Aaron Shust,Ever Be,2016,rock,,G Em Bm C,G Am C Bm D G Am C Bm D C G D Am,C G Em D G Em,G D Em C G Am Em C,C G Em D C G,G,1 6m 3m 4,1 2m 4 3m 5 1 2m 4 3m 5 4 1 5 2m,4 1 6m 5 1 6m,1 5 6m 4 1 2m 6m 4,4 1 6m 5 4 1,15ieUaAegwQRlmEigRUwTv,0oM8RWZXhJYSnzGdepP7fM,worship
Aaron Shust,My Savior My God,2005,rock,C Emin G C G D Emin C G Emin C G Emin D C G Emin C Emin G C G,,,,,,,,,,,,1syFMBjjRvL3uReOM8yWEb,0oM8RWZXhJYSnzGdepP7fM,worship
Aaron Shust,This I Know,2019,rock,,G D G A Bm D/F#,D Bm G D Bm G D G A D,G D G A Bm D/F# G A Bm D/F# G A D G A D,Bm G D Bm G D,Bm G D Bm G D,D,4 1 4 5 6m 1/3,1 6m 4 1 6m 4 1 4 5 1,4 1 4 5 6m 1/3 4 5 6m 1/3 4 5 1 4 5 1,6m 4 1 6m 4 1,6m 4 1 6m 4 1,5Dz4NHWyh7L2GRz8uidrBR,0oM8RWZXhJYSnzGdepP7fM,worship
Aaron Shust,To God Alone,2009,rock,,F Am G,C G Am F C G Am F C G Am F C G Am F D F,C G Am F C G Am F C G Am F Dm Am G,F Am G F Am G F Am G F,F Am G C F Am G,C,4 6m 5,1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 2 4,1 5 6m 4 1 5 6m 4 1 5 6m 4 2m 6m 5,4 6m 5 4 6m 5 4 6m 5 4,4 6m 5 1 4 6m 5,0sXqOSFwclldQwywLYqUrw,0oM8RWZXhJYSnzGdepP7fM,worship
Aaron Shust,Zion,2019,rock,,,A E A E G#m A B C#m G#m A B E,C#m A E C#m A E A B C#m A C#m B E,C#m A E G#m C#m A E B A E B,,E,,4 1 4 1 3m 4 5 6m 3m 4 5 1,6m 4 1 6m 4 1 4 5 6m 4 6m 5 1,6m 4 1 3m 6m 4 1 5 4 1 5,,1mxgHDkI8VOs0vnpA9Sucl,0oM8RWZXhJYSnzGdepP7fM,worship
Adhemar De Campos,Amigo de Deus,2023,,D A/Cs Bmin Emin Emin/D Csmin D A/Cs Bmin A G G/A D A/Cs Bmin D A/Cs Bmin A E/Gs Bmin A/Cs D Emin D A/Cs Bmin A Emin D A/Cs Bmin A G A/Cs D D/Fs G D/A A G D Emin D A/Cs Bmin A Emin D A/Cs Bmin A G/B A/Cs D D/Fs G D/A A G D D/A A G A/Cs D,,,,,,,,,,,,62sEiJNjKNbnY6LN9cLGQN,03TpTPLRclj2iknzWXAXjP,worship
Adhemar De Campos,Bem Supremo - Acústico Ao Vivo,2007,,C F G Emin Amin D F/C G/B Eb Gs As Gmin Cmin F Gs/Eb As/F Eb Bb/D Gsmaj7 Eb/G As/F Gs Fmin7 As Eb As Gs Eb Bb/D Fmin7 Eb/G Gs Fmin Bbsus4 Bb Eb Gs As Eb Bb/D Gsmaj7 Eb/G Gs Fmin7 Bbsus4 Bb Eb As Gs Eb Bb/D Fmin7 Eb/G Gs Fmin Bbsus4 Bb Eb Gs Eb/G As/F Gs Bb/Ab Eb Cmin Gs Bb/Ab Eb Cmin Gs Bb Cmin Gs Bb Eb Gs Bb/Ab Eb Cmin Gs Bb/Ab Eb Cmin Gs Bb Cmin Gs Bb Eb Gs Bb Eb Gs Bb Eb,,,,,,,,,,,,30E6ulIchDnMJoCcZ8QnnT,03TpTPLRclj2iknzWXAXjP,worship
Adhemar De Campos,Ele Vem Pra Te Salvar - Acústico Ao Vivo,2007,,D Emin D/Fs G D/Fs D Emin D/Fs G Aadd11 A D A Bmin G D A G D A Bmin G D/Fs A G A D Dadd11 D G A D D/Fs G A Bmin D/Fs G A D/Fs G A D G A D D/Fs G A Bmin G A D/Fs G A D Dadd11 D A Bmin G D A G D A Bmin G D/Fs A G A D Dadd11 D G A D D/Fs G A Bmin D/Fs G A D/Fs G A D G A D D/Fs G A Bmin D/Fs G A D/Fs G A D Bmin A Bmin G Bmin A G A B A B E A B Csmin A B A B E A B E A B Csmin A B A B E A B A B E,,,,,,,,,,,,0q1yeocNgiiTGnDBSqqU3g,03TpTPLRclj2iknzWXAXjP,worship
Adhemar De Campos,Grande é o Senhor - Ao Vivo,2018,,Fmaj7 G/F Fmaj7 G Amin7 Fmaj7 G/F Amin7 G Fmaj7 G/F Fmaj7 G Amin Fmaj7 G/F Amin7 G Fmaj7 G/F Fmaj7 G Amin7 Fmaj7 G Aadd11 A G Fmaj7 G/F Fmaj7 G Amin Dmin7 Emin7 Fsmin7 Fmaj7 G/F Fmaj7 G Amin7 Fmaj7 G/F Amin7 G Fmaj7 G/F Fmaj7 G Amin Fmaj7 G Aadd11 A G,,,,,,,,,,,,6GeGXOPJFa3pRwrWAnrV7j,03TpTPLRclj2iknzWXAXjP,worship
Adhemar De Campos,Homem de Guerra / Nosso General - Acústico Ao Vivo,2007,,Amin G Amin G Amin G Amin F G Emin F Dmin Emin Amin Dmin Amin Bb E Amin Dmin Amin Dmin Amin E,,,,,,,,,,,,28QqEOI44p254wwHRxCtQ2,03TpTPLRclj2iknzWXAXjP,worship
Adhemar De Campos,Louvemos Ao Senhor / Magnifiquemos / Hosana / O Motivo Do Louvor - Acústico Ao Vivo,2007,,Fmaj7 Dmin7 Gmin7 Amin7 Bb Bb7/C C7 Gmin7 C C11 C7 Fmaj7 F/E Dmin7 Dmin/C Bb Bb/C Fmaj7 Dmin7 Gmin7 Bb/C Fmaj7 Dmin7 Gmin7 Amin7 Bb Bb/C Fmin7 Dmin7 Gmin7 Bb7/C Fmaj7 Dmin7 Gmin7 Amin7 Bb Bb7/C F Fmaj7 Dmin7 Gmin7 Amin7 Bb Bb7/C,,,,,,,,,,,,3GeFBts6Zm8f21UhhBzFXO,03TpTPLRclj2iknzWXAXjP,worship
Adhemar De Campos,O Leão Da Tribo De Judá / Nosso Comandante - Acústico Ao Vivo,2007,,G Emin F Amin D G Emin F Amin D C D Bmin Emin F C/E D,,,,,,,,,,,,69YkLk6TpyxgY1SymHD8S0,03TpTPLRclj2iknzWXAXjP,worship
