"track_name","picked_artist","method"
"Gratitude - Brandon Lake - Lyric Video","Gratitude","fallback_left_shorter_or_equal"
"I Thank God Lyrics - Maverick City & UPPERROOM","I Thank God Lyrics","fallback_left_shorter_or_equal"
"Elevation Worship - Trust In God ft. Chris Brown (Lyrics)","Elevation Worship","left_matches_ref"
"What A Beautiful Name (Lyric Video) - Hillsong Worship","Hillsong Worship","right_matches_ref"
"Here Be Lions & Darlene Zschech - I Speak Jesus (lyrics)","I Speak Jesus (lyrics)","fallback_right_shorter"
"Phil Wickham - House Of The Lord (with lyrics)(2021)","Phil Wickham","fallback_left_shorter_or_equal"
"GRAVES INTO GARDENS - ELEVATION WORSHIP LYRIC VIDEO","GRAVES INTO GARDENS","fallback_left_shorter_or_equal"
"Leeland - Way Maker (Lyrics)","Leeland","left_matches_ref"
"How Great Is Our God - Lyric Video HD","Lyric Video HD","fallback_right_shorter"
"Phil Wickham - Living Hope (Lyrics)","Phil Wickham","fallback_left_shorter_or_equal"
"King of Kings (Lyric Video) - Hillsong Worship","Hillsong Worship","right_matches_ref"
"Glorious Day - Kristian Stanfill (Lyrics)","Glorious Day","fallback_left_shorter_or_equal"
"Battle Belongs - Phil Wickham (Lyrics)","Battle Belongs","fallback_left_shorter_or_equal"
"10,000 Reasons (Bless The Lord) - Lyric Video HD","Lyric Video HD","fallback_right_shorter"
"Holy Spirit - Francesca Battistelli (lyric video)","Holy Spirit","fallback_left_shorter_or_equal"
"Elevation Worship - Same God (Radio Version) [Lyrics]","Elevation Worship","left_matches_ref"
"Who You Say I Am (Lyric Video) - Hillsong Worship","Hillsong Worship","right_matches_ref"
"Lord I Need You - Matt Maher (Worship Song with Lyrics)","Lord I Need You","fallback_left_shorter_or_equal"
"Raise a Hallelujah-Bethel Music-Lyrics","Raise a Hallelujah","fallback_left_shorter_or_equal"
"Amazing Grace (My Chains are Gone) - Chris Tomlin Worship Video w/lyrics","Amazing Grace (My Chains are Gone)","fallback_left_shorter_or_equal"
"Phil Wickham - This Is Our God (with lyrics)(2023)","Phil Wickham","fallback_left_shorter_or_equal"
"O Come To The Altar - Elevation Worship","Elevation Worship","right_matches_ref"
"God So Loved - We The Kingdom (Lyrics)","God So Loved","fallback_left_shorter_or_equal"
"Make Room - Community Music (With Lyrics)","Make Room","fallback_left_shorter_or_equal"
"O Praise The Name (An?stasis) - Hillsong Worship (2015 New Worship Song with Lyrics)","O Praise The Name (An?stasis)","fallback_left_shorter_or_equal"
"Cornerstone - Hillsong","Hillsong","right_matches_ref"
"Cody Carnes - Christ Be Magnified (with lyrics)(2020)","Cody Carnes","left_matches_ref"
"Cory Asbury - Reckless Love - (with lyrics) (2018)","Cory Asbury","left_matches_ref"
"Yet Not I, But Through Christ In Me (Lyric Video) - Selah [Official Video]","Selah [Official Video]","fallback_right_shorter"
"All Hail King Jesus - Bethany Wohrle - Bethel (Lyric Video)","All Hail King Jesus","fallback_left_shorter_or_equal"
"Selah - How Deep The Father's Love For Us [with lyrics]","Selah","fallback_left_shorter_or_equal"
"Charity Gayle - Thank You Jesus For The Blood (with lyrics)(2021)","Charity Gayle","fallback_left_shorter_or_equal"
"King Of My Heart - [Lyric Video] Kutless","King Of My Heart","fallback_left_shorter_or_equal"
"Lion and the Lamb - Bethel Lyrics","Bethel Lyrics","fallback_right_shorter"
"Because He Lives I Can Face Tomorrow - Worship Song With Lyrics","Worship Song With Lyrics","fallback_right_shorter"
"Matt Redman - We Praise You (lyrics)","Matt Redman","fallback_left_shorter_or_equal"
"Cody Carnes (feat. Benjamin William Hastings) - Take You At Your Word (with lyrics)(2022)","Take You At Your Word (with lyrics)(2022)","fallback_right_shorter"
"Kristian Stanfill - Jesus Paid It All With Lyrics HD","Kristian Stanfill","left_matches_ref"
"Phil Wickham - I Believe (with lyrics)(2023)","Phil Wickham","fallback_left_shorter_or_equal"
"Cody Carnes - Run to the Father (with lyrics)(2020)","Cody Carnes","left_matches_ref"
"Shane & Shane - You've Already Won (Radio Version) (with lyrics)(2023)","Shane & Shane","fallback_left_shorter_or_equal"
"Yes I Will - Vertical Worship Lyrics","Yes I Will","fallback_left_shorter_or_equal"
"Michael W. Smith - The Heart Of Worship [with lyrics]","Michael W. Smith","left_matches_ref"
"Brandon Lake - Praise You Anywhere (with lyrics)(2023)","Brandon Lake","fallback_left_shorter_or_equal"
"Phil Wickham - Hymn Of Heaven (with lyrics)(2021)","Phil Wickham","fallback_left_shorter_or_equal"
"Do It Again - Elevation Worship (Lyrics)","Do It Again","fallback_left_shorter_or_equal"
"Oceans (Where Feet May Fail) - Lyric Video HD","Lyric Video HD","fallback_right_shorter"
"See a victory - Elevation Worship (Lyrics)","See a victory","fallback_left_shorter_or_equal"
"Aaron Williams (feat. Aaron Keyes) - Abide (with lyrics)(2022)","Abide (with lyrics)(2022)","fallback_right_shorter"
"Mighty To Save - Lyric Video HD","Mighty To Save","fallback_left_shorter_or_equal"
"Elevation Worship - My Testimony (with lyrics)(2020)","Elevation Worship","left_matches_ref"
"Our God - Lyric Video HD","Our God","fallback_left_shorter_or_equal"
"Jesus, We Love You - Paul McClure & Bethel lyric video","Jesus, We Love You","fallback_left_shorter_or_equal"
"Give Me Jesus (feat. Abbie Gamboa) - UPPERROOM (Lyrics Video)","UPPERROOM (Lyrics Video)","fallback_right_shorter"
"Brooke Ligertwood - Bless God (Lyric video)","Brooke Ligertwood","fallback_left_shorter_or_equal"
"Tremble - Mosaic (Lyrics)","Tremble","fallback_left_shorter_or_equal"
"Only a Holy God (Lyric Video) - Here Be Lions","Here Be Lions","right_matches_ref"
"The Lord's Prayer (It's Yours) - Matt Maher | WordShip","Matt Maher | WordShip","fallback_right_shorter"
"Your Grace is Enough - Matt Maher (with lyrics)","Your Grace is Enough","fallback_left_shorter_or_equal"
"The Belonging Co (feat. David Dennis) - The Joy (with lyrics)(2023)","The Joy (with lyrics)(2023)","fallback_right_shorter"
