"artist_name","in_cleaned_v2","in_strict","in_rejected","status"
"!Audacious Band","yes","no","no","cleaned_v2_only"
"10,000 Fathers","yes","no","no","cleaned_v2_only"
"10,000 Reasons (Bless The Lord)","yes","no","no","cleaned_v2_only"
"12Stone Worship","yes","no","no","cleaned_v2_only"
"7 Hills Worship","yes","no","no","cleaned_v2_only"
"Aaron Gillespie","yes","yes","no","cleaned_strict"
"Aaron Keyes","yes","yes","no","cleaned_strict"
"Aaron Shust","yes","yes","no","cleaned_strict"
"Aaron Williams (feat. Aaron Keyes)","yes","no","no","cleaned_v2_only"
"Abba (feat. Michelle Danae)","no","no","yes","rejected"
"ACC Worship","yes","no","no","cleaned_v2_only"
"Adam Bitter","no","no","yes","rejected"
"Adrienne Liesching and Geoff Moore","no","no","yes","rejected"
"After All (feat. Jonny Hupp)","no","no","yes","rejected"
"After The Music Fades","yes","no","no","cleaned_v2_only"
"Alan Jackson","yes","yes","no","cleaned_strict"
"All About Worship ? Michael Farren","yes","no","no","cleaned_v2_only"
"All About Worship ? Rhyan Shirley","yes","no","no","cleaned_v2_only"
"All He Says I Am","no","no","yes","rejected"
"All Sons & Daughters","yes","yes","no","cleaned_strict"
"All Sons & Daughters ? David Leonard","no","no","yes","rejected"
"All Things New","yes","yes","no","cleaned_strict"
"Allan","no","no","yes","rejected"
"Allan Scott","no","no","yes","rejected"
"Amanda Cook","yes","yes","no","cleaned_strict"
"Amazing Grace (My Chains are Gone)","yes","no","no","cleaned_v2_only"
"Amazing, Because It Is","no","no","yes","rejected"
"Anabeth Morgan","yes","no","no","cleaned_v2_only"
"Anchor Worship","yes","no","no","cleaned_v2_only"
"Andrew Ehrenzeller","no","no","yes","rejected"
"Andrew Peterson","yes","yes","no","cleaned_strict"
"Andy & Rachel Graham","no","no","yes","rejected"
"Anthem Lights","yes","yes","no","cleaned_strict"
"Anthony Evans","no","no","yes","rejected"
"Anthony Skinner","yes","yes","no","cleaned_strict"
"Antioch Music","yes","no","no","cleaned_v2_only"
"Antioch Music & Lindy Cofer","yes","no","no","cleaned_v2_only"
"ARISE Worship","yes","no","no","cleaned_v2_only"
"Asbury Worship Collective","yes","no","no","cleaned_v2_only"
"Ascend The Hill","yes","yes","no","cleaned_strict"
"Audrey Assad","yes","yes","no","cleaned_strict"
"Austin & Lindsey Adamec","no","no","yes","rejected"
"Awaken Generation","no","no","yes","rejected"
