"artist_name","normalized_candidate","prior_status","internet_status","evidence"
"!Audacious Band","!Audacious Band","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"10,000 Fathers","10,000 Fathers","cleaned_v2_only","rejected","no_online_match"
"10,000 Reasons (Bless The Lord)","10,000 Reasons (Bless The Lord)","cleaned_v2_only","rejected","no_online_match"
"12Stone Worship","12Stone Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"7 Hills Worship","7 Hills Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Aaron Gillespie","Aaron Gillespie","cleaned_strict","rejected","no_online_match"
"Aaron Keyes","Aaron Keyes","cleaned_strict","rejected","no_online_match"
"Aaron Shust","Aaron Shust","cleaned_strict","rejected","no_online_match"
"Aaron Williams (feat. Aaron Keyes)","Aaron Williams","cleaned_v2_only","rejected","no_online_match"
"Abba (feat. Michelle Danae)","Abba","rejected","rejected","no_online_match"
"ACC Worship","ACC Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Adam Bitter","Adam Bitter","rejected","rejected","no_online_match"
"Adrienne Liesching and Geoff Moore","Adrienne Liesching and Geoff Moore","rejected","rejected","no_online_match"
"After All (feat. Jonny Hupp)","After All","rejected","rejected","no_online_match"
"After The Music Fades","After The Music Fades","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Alan Jackson","Alan Jackson","cleaned_strict","rejected","no_online_match"
"All About Worship ? Michael Farren","All About Worship ? Michael Farren","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"All About Worship ? Rhyan Shirley","All About Worship ? Rhyan Shirley","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"All He Says I Am","All He Says I Am","rejected","rejected","no_online_match"
"All Sons & Daughters","All Sons & Daughters","cleaned_strict","rejected","no_online_match"
"All Sons & Daughters ? David Leonard","All Sons & Daughters ? David Leonard","rejected","rejected","no_online_match"
"All Things New","All Things New","cleaned_strict","rejected","no_online_match"
"Allan","Allan","rejected","rejected","no_online_match"
"Allan Scott","Allan Scott","rejected","rejected","no_online_match"
"Amanda Cook","Amanda Cook","cleaned_strict","rejected","no_online_match"
"Amazing Grace (My Chains are Gone)","Amazing Grace (My Chains are Gone)","cleaned_v2_only","rejected","no_online_match"
"Amazing, Because It Is","Amazing, Because It Is","rejected","rejected","no_online_match"
"Anabeth Morgan","Anabeth Morgan","cleaned_v2_only","rejected","no_online_match"
"Anchor Worship","Anchor Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Andrew Ehrenzeller","Andrew Ehrenzeller","rejected","rejected","no_online_match"
"Andrew Peterson","Andrew Peterson","cleaned_strict","rejected","no_online_match"
"Andy & Rachel Graham","Andy & Rachel Graham","rejected","rejected","no_online_match"
"Anthem Lights","Anthem Lights","cleaned_strict","rejected","no_online_match"
"Anthony Evans","Anthony Evans","rejected","rejected","no_online_match"
"Anthony Skinner","Anthony Skinner","cleaned_strict","rejected","no_online_match"
"Antioch Music","Antioch Music","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Antioch Music & Lindy Cofer","Antioch Music & Lindy Cofer","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"ARISE Worship","ARISE Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Asbury Worship Collective","Asbury Worship Collective","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Ascend The Hill","Ascend The Hill","cleaned_strict","rejected","no_online_match"
"Audrey Assad","Audrey Assad","cleaned_strict","rejected","no_online_match"
"Austin & Lindsey Adamec","Austin & Lindsey Adamec","rejected","rejected","no_online_match"
"Awaken Generation","Awaken Generation","rejected","rejected","no_online_match"
"Awaken Worship","Awaken Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Awakening Worship","Awakening Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Battle Belongs","Battle Belongs","rejected","rejected","no_online_match"
"Bellarive","Bellarive","cleaned_strict","rejected","no_online_match"
"Ben & Noelle Kilgore ? David Leonard","Ben & Noelle Kilgore ? David Leonard","rejected","rejected","no_online_match"
"Ben Potter","Ben Potter","rejected","rejected","no_online_match"
"Bethany Music","Bethany Music","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethany Wohrle - Bethel","Bethany Wohrle - Bethel","cleaned_v2_only","rejected","no_online_match"
"Bethel Music","Bethel Music","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Amanda Cook","Bethel Music & Amanda Cook","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Brian Johnson","Bethel Music & Brian Johnson","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Jenn Johnson","Bethel Music & Jenn Johnson","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Jeremy Riddle","Bethel Music & Jeremy Riddle","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Jonathan David & Melissa Helser","Bethel Music & Jonathan David & Melissa Helser","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Josh Baldwin","Bethel Music & Josh Baldwin","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Kim Walker Smith","Bethel Music & Kim Walker Smith","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Paul McClure","Bethel Music & Paul McClure","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Steffany Frizzell Gretzinger","Bethel Music & Steffany Frizzell Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Steffany Gretzinger","Bethel Music & Steffany Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & William Matthews","Bethel Music & William Matthews","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Amanda Lindsey Cook","Bethel Music ? Amanda Lindsey Cook","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Bethany Wohrle","Bethel Music ? Bethany Wohrle","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Brian Johnson","Bethel Music ? Brian Johnson","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Jenn Johnson","Bethel Music ? Jenn Johnson","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Jeremy Riddle ? Seffany Frizzell Gretzinger","Bethel Music ? Jeremy Riddle ? Seffany Frizzell Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Kalley Heiligenthal","Bethel Music ? Kalley Heiligenthal","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Matt Stinton","Bethel Music ? Matt Stinton","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Steffany Frizzell Gretzinger","Bethel Music ? Steffany Frizzell Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? William Matthews","Bethel Music ? William Matthews","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music I Leeland Mooring","Bethel Music I Leeland Mooring","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music I Steffany Gretzinger","Bethel Music I Steffany Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Worship Arts","Bethel Worship Arts","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Big Daddy Weave","Big Daddy Weave","cleaned_strict","rejected","no_online_match"
"Bigger Than","Bigger Than","rejected","rejected","no_online_match"
"BJ Putnam","BJ Putnam","cleaned_v2_only","rejected","no_online_match"
"Boyce Vocal Band","Boyce Vocal Band","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Brad & Rebekah","Brad & Rebekah","rejected","rejected","no_online_match"
"Brady Toops","Brady Toops","rejected","rejected","no_online_match"
"Brandon Lake","Brandon Lake","rejected","rejected","no_online_match"
"Brandon Lake ? Brandon Lake ? David Hislop ? Matt Rash ? Brendon McCoy ? Lance Gatch ? Cole Collins ? Jordan Summers ? London Gatch ? Caroline Collins ? Nate Davis ? Destiny Zavala ? David Hislop ? Matthew Garber","Brandon Lake ? Brandon Lake ? David Hislop ? Matt Rash ? Brendon McCoy ? Lance Gatch ? Cole Collins ? Jordan Summers ? London Gatch ? Caroline Collins ? Nate Davis ? Destiny Zavala ? David Hislop ? Matthew Garber","rejected","rejected","no_online_match"
"Brandon Lake ? Tasha Cobbs Leonard","Brandon Lake ? Tasha Cobbs Leonard","rejected","rejected","no_online_match"
"Bread & Wine & Ben Smith","Bread & Wine & Ben Smith","rejected","rejected","no_online_match"
"Breakaway Ministries","Breakaway Ministries","rejected","rejected","no_online_match"
"Brenton Dowdy","Brenton Dowdy","rejected","rejected","no_online_match"
"Brett Younker","Brett Younker","cleaned_strict","rejected","no_online_match"
"Bri Babineaux","Bri Babineaux","cleaned_strict","rejected","no_online_match"
"Brian and Jenn Johnson","Brian and Jenn Johnson","cleaned_v2_only","rejected","no_online_match"
"Brian Doerksen","Brian Doerksen","cleaned_strict","rejected","no_online_match"
"Brian Houston","Brian Houston","rejected","rejected","no_online_match"
"Brian Johnson","Brian Johnson","cleaned_strict","rejected","no_online_match"
"BridgeCity","BridgeCity","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bright City","Bright City","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"Britt Nicole","Britt Nicole","cleaned_strict","rejected","no_online_match"
"Brooke Ligertwood","Brooke Ligertwood","rejected","rejected","no_online_match"
"Brooke Ligertwood (feat. Brandon Lake)","Brooke Ligertwood","rejected","rejected","no_online_match"
"Bryan & Katie Torwalt","Bryan & Katie Torwalt","cleaned_strict","rejected","no_online_match"
"Build My Life","Build My Life","rejected","rejected","no_online_match"
"C3 SYD","C3 SYD","cleaned_v2_only","rejected","no_online_match"
"C3 Toronto Worship","C3 Toronto Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"CAIN","CAIN","rejected","rejected","no_online_match"
"CAIN ? Essential Worship","CAIN ? Essential Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Calvary Creative","Calvary Creative","rejected","rejected","no_online_match"
"Canvas And Clay","Canvas And Clay","rejected","rejected","no_online_match"
"Canyon Hills Worship","Canyon Hills Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Captivated (feat. Tiffany Adams & Alyssa Sohn)","Captivated","rejected","rejected","no_online_match"
"Casey Darnell","Casey Darnell","cleaned_strict","rejected","no_online_match"
"Casting Crowns","Casting Crowns","cleaned_strict","rejected","no_online_match"
"Celebration Worship","Celebration Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Celebration Worship ? Lindsey Brenner","Celebration Worship ? Lindsey Brenner","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Central Bible College Worship Project","Central Bible College Worship Project","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Chapel Band","Chapel Band","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Charity Gayle","Charity Gayle","cleaned_v2_only","rejected","no_online_match"
"Charles Billingsley","Charles Billingsley","cleaned_strict","rejected","no_online_match"
"Charlie Hall","Charlie Hall","cleaned_strict","rejected","no_online_match"
"Children Of Inheritance","Children Of Inheritance","rejected","rejected","no_online_match"
"Chris & Bethany Solyntjes","Chris & Bethany Solyntjes","rejected","rejected","no_online_match"
"Chris McClarney","Chris McClarney","cleaned_strict","rejected","no_online_match"
"Chris Quilala","Chris Quilala","cleaned_strict","rejected","no_online_match"
"Chris Renzema","Chris Renzema","rejected","rejected","no_online_match"
"Chris Renzema & Moriah Hazeltine","Chris Renzema & Moriah Hazeltine","rejected","rejected","no_online_match"
"Chris Tomlin","Chris Tomlin","cleaned_strict","rejected","no_online_match"
"Christ Community Church","Christ Community Church","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship","Christ For The Nations Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Amber Trent","Christ For The Nations Worship ? Amber Trent","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Faith Schneider","Christ For The Nations Worship ? Faith Schneider","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Gabriel Allred","Christ For The Nations Worship ? Gabriel Allred","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Jessica Freeman","Christ For The Nations Worship ? Jessica Freeman","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Jonathan Lewis","Christ For The Nations Worship ? Jonathan Lewis","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Kari Jobe","Christ For The Nations Worship ? Kari Jobe","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Keith Hulen","Christ For The Nations Worship ? Keith Hulen","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Klaus","Christ For The Nations Worship ? Klaus","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Klaus ? Kari Jobe","Christ For The Nations Worship ? Klaus ? Kari Jobe","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Lauren Farmer ? Benson Eapen","Christ For The Nations Worship ? Lauren Farmer ? Benson Eapen","rejected","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Leeland Mooring","Christ For The Nations Worship ? Leeland Mooring","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Rick Pino","Christ For The Nations Worship ? Rick Pino","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christian Cuevas","Christian Cuevas","rejected","rejected","no_online_match"
"CHURCHOUSE","CHURCHOUSE","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Cindy Cruse Ratcliff","Cindy Cruse Ratcliff","rejected","rejected","no_online_match"
"Circuit Rider Music ? Joshua Brennt ? Eileen Walker","Circuit Rider Music ? Joshua Brennt ? Eileen Walker","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Cities Worship - Closer","Cities Worship - Closer","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Citipointe Worship","Citipointe Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Citipointe Worship ? Aaron Lucas","Citipointe Worship ? Aaron Lucas","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Citipointe Worship ? Beau Lamshed","Citipointe Worship ? Beau Lamshed","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Citipointe Worship ? Chardon Lewis","Citipointe Worship ? Chardon Lewis","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Citizens ? Brian Eichelberger ? Zach Bolen","Citizens ? Brian Eichelberger ? Zach Bolen","cleaned_v2_only","rejected","no_online_match"
"Citizens ? Chris Tomlin ? Louie Giglio ? Zach Bolen","Citizens ? Chris Tomlin ? Louie Giglio ? Zach Bolen","cleaned_v2_only","rejected","no_online_match"
"Citizens ? Zach Bolen","Citizens ? Zach Bolen","cleaned_v2_only","rejected","no_online_match"
"Cody Carnes","Cody Carnes","cleaned_strict","rejected","no_online_match"
"Cody Carnes (feat. Benjamin William Hastings)","Cody Carnes","rejected","rejected","no_online_match"
"Cody Davenport","Cody Davenport","rejected","rejected","no_online_match"
"Come And Tear Down The Walls","Come And Tear Down The Walls","rejected","rejected","no_online_match"
"Come Away (feat. Brock Human)","Come Away","rejected","rejected","no_online_match"
"Community Music","Community Music","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"Copper Pointe Worship","Copper Pointe Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Corey Voss","Corey Voss","cleaned_v2_only","rejected","no_online_match"
"Cory Asbury","Cory Asbury","cleaned_strict","rejected","no_online_match"
"Covenant Worship","Covenant Worship","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"Covenant Worship, David & Nicole Binion","Covenant Worship, David & Nicole Binion","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Cross Worship ? D'Marcus Howard ? Darius Byers ? Troy Culbreth","Cross Worship ? D'Marcus Howard ? Darius Byers ? Troy Culbreth","rejected","needs_review","artist_indicator_but_no_strong_online_match"
"Crowder","Crowder","cleaned_strict","rejected","no_online_match"
"Cultivation Generation ? Jesse Meyer ? Stephen Lampert ? The Neverclaim ? Vineyard Worship","Cultivation Generation ? Jesse Meyer ? Stephen Lampert ? The Neverclaim ? Vineyard Worship","rejected","needs_review","artist_indicator_but_no_strong_online_match"
"Curate Music","Curate Music","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Curt Vernon ? Julie Futch","Curt Vernon ? Julie Futch","cleaned_v2_only","rejected","no_online_match"
"Dan Bremnes","Dan Bremnes","cleaned_strict","rejected","no_online_match"
"Daniel Bashta","Daniel Bashta","cleaned_strict","rejected","no_online_match"
"Danielle Munizzi","Danielle Munizzi","rejected","rejected","no_online_match"
"Darlene Zschech","Darlene Zschech","cleaned_v2_only","rejected","no_online_match"
"David Ashley Trent","David Ashley Trent","rejected","rejected","no_online_match"
"David Brymer","David Brymer","cleaned_strict","rejected","no_online_match"
"David Crowder Band","David Crowder Band","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"David Leonard","David Leonard","rejected","rejected","no_online_match"
"Deep Cries Out","Deep Cries Out","cleaned_strict","rejected","no_online_match"
"Delirious?","Delirious?","rejected","rejected","no_online_match"
"Derek Johnson","Derek Johnson","cleaned_strict","rejected","no_online_match"
"Desperation Band","Desperation Band","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"Desperation Band ? Jon Egan","Desperation Band ? Jon Egan","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Destination Worship","Destination Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Divine Exchange (feat. Corey Voss)","Divine Exchange","rejected","rejected","no_online_match"
"Dustin Smith","Dustin Smith","cleaned_strict","rejected","no_online_match"
"East Coast Christian Center","East Coast Christian Center","rejected","rejected","no_online_match"
"Eddie James","Eddie James","cleaned_strict","rejected","no_online_match"
"Eddie James ? Jayna Cullens ? Micayla Burnes","Eddie James ? Jayna Cullens ? Micayla Burnes","rejected","rejected","no_online_match"
"Elevation Rhythm","Elevation Rhythm","cleaned_v2_only","rejected","no_online_match"
"Elevation Worship","Elevation Worship","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"Elevation Worship & Brandon Lake","Elevation Worship & Brandon Lake","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Elevation Worship ? Chris Brown ? Brandon Lake ? Tiffany Hudson","Elevation Worship ? Chris Brown ? Brandon Lake ? Tiffany Hudson","rejected","needs_review","artist_indicator_but_no_strong_online_match"
"Elevation Worship ? Jonsal Barrientes","Elevation Worship ? Jonsal Barrientes","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Elevation Worship ? Steffany Gretzinger","Elevation Worship ? Steffany Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Elevation Worship ? Tauren Wells","Elevation Worship ? Tauren Wells","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
