"artist_name","normalized_candidate","prior_status","internet_status","evidence"
"10,000 Fathers","10,000 Fathers","cleaned_v2_only","rejected","no_online_match"
"10,000 Reasons (Bless The Lord)","10,000 Reasons (Bless The Lord)","cleaned_v2_only","rejected","no_online_match"
"Aaron Gillespie","Aaron Gillespie","cleaned_strict","rejected","no_online_match"
"Aaron Keyes","Aaron Keyes","cleaned_strict","rejected","no_online_match"
"Aaron Shust","Aaron Shust","cleaned_strict","rejected","no_online_match"
"Aaron Williams (feat. Aaron Keyes)","Aaron Williams","cleaned_v2_only","rejected","no_online_match"
"Abba (feat. Michelle Danae)","Abba","rejected","rejected","no_online_match"
"Adam Bitter","Adam Bitter","rejected","rejected","no_online_match"
"Adrienne Liesching and Geoff Moore","Adrienne Liesching and Geoff Moore","rejected","rejected","no_online_match"
"After All (feat. Jonny Hupp)","After All","rejected","rejected","no_online_match"
"Alan Jackson","Alan Jackson","cleaned_strict","rejected","no_online_match"
"All He Says I Am","All He Says I Am","rejected","rejected","no_online_match"
"All Sons & Daughters","All Sons & Daughters","cleaned_strict","rejected","no_online_match"
"All Sons & Daughters ? David Leonard","All Sons & Daughters ? David Leonard","rejected","rejected","no_online_match"
"All Things New","All Things New","cleaned_strict","rejected","no_online_match"
"Allan","Allan","rejected","rejected","no_online_match"
"Allan Scott","Allan Scott","rejected","rejected","no_online_match"
"Amanda Cook","Amanda Cook","cleaned_strict","rejected","no_online_match"
"Amazing Grace (My Chains are Gone)","Amazing Grace (My Chains are Gone)","cleaned_v2_only","rejected","no_online_match"
"Amazing, Because It Is","Amazing, Because It Is","rejected","rejected","no_online_match"
"Anabeth Morgan","Anabeth Morgan","cleaned_v2_only","rejected","no_online_match"
"Andrew Ehrenzeller","Andrew Ehrenzeller","rejected","rejected","no_online_match"
"Andrew Peterson","Andrew Peterson","cleaned_strict","rejected","no_online_match"
"Andy & Rachel Graham","Andy & Rachel Graham","rejected","rejected","no_online_match"
"Anthem Lights","Anthem Lights","cleaned_strict","rejected","no_online_match"
"Anthony Evans","Anthony Evans","rejected","rejected","no_online_match"
