Track name,Artist name,Album,Playlist name,Type,ISRC
"Goodness Of God (Lyrics) by Bethel Music","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Gratitude - Brandon Lake - Lyric Video","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Holy Forever by Chris Tomlin [Lyric Video]","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Great Are You Lord w/ Lyrics (All Sons & Daughters)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Firm Foundation (He Won't) | Maranatha! Music (Lyric Video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Build My Life    Pat Barrett Lyric Video","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"I Thank God Lyrics - Maverick City & UPPERROOM","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Elevation Worship - Trust In God ft. Chris Brown (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"What A Beautiful Name (Lyric Video) - Hillsong Worship","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Here Be Lions & Darlene Zschech - I Speak Jesus (lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Phil Wickham - House Of The Lord (with lyrics)(2021)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"GRAVES INTO GARDENS - ELEVATION WORSHIP LYRIC VIDEO","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Leeland - Way Maker (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Worthy of it All Lyrics | By Bri Babineaux","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"How Great Is Our God - Lyric Video HD","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Phil Wickham - Living Hope (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"King of Kings (Lyric Video) - Hillsong Worship","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Glorious Day - Kristian Stanfill (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Battle Belongs - Phil Wickham (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"This is Amazing Grace | Maranatha! Music (Lyric Video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"10,000 Reasons (Bless The Lord) - Lyric Video HD","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"How Great Thou Art","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Holy Spirit - Francesca Battistelli (lyric video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Elevation Worship - Same God (Radio Version) [Lyrics]","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Who You Say I Am (Lyric Video) - Hillsong Worship","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Lord I Need You - Matt Maher (Worship Song with Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Rest On Us Maverick City & Brandon Lake Lyrics","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"In Christ Alone | Maranatha! Music (Lyric Video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Good Good Father Lyrics   Chris Tomlin","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Phil Wickham ~ Great Things (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Raise a Hallelujah-Bethel Music-Lyrics","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Amazing Grace (My Chains are Gone) - Chris Tomlin Worship Video w/lyrics","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Phil Wickham - This Is Our God (with lyrics)(2023)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"O Come To The Altar - Elevation Worship","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"God So Loved - We The Kingdom (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Make Room - Community Music (With Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"O Praise The Name (Anástasis) - Hillsong Worship (2015 New Worship Song with Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Cornerstone - Hillsong","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Cody Carnes - Christ Be Magnified (with lyrics)(2020)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Revelation Song","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Cory Asbury - Reckless Love - (with lyrics) (2018)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Yet Not I, But Through Christ In Me (Lyric Video) - Selah [Official Video]","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"The Blessing | Kari Jobe | Elevation Worship [LYRICS]","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"All Hail King Jesus - Bethany Wohrle - Bethel (Lyric Video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Selah - How Deep The Father's Love For Us [with lyrics]","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Here I Am To Worship | Maranatha! Music (Lyric Video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Charity Gayle - Thank You Jesus For The Blood (with lyrics)(2021)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"King Of My Heart - [Lyric Video] Kutless","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Lion and the Lamb - Bethel Lyrics","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Cody Carnes ~ Nothing Else (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Because He Lives I Can Face Tomorrow - Worship Song With Lyrics","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Matt Redman - We Praise You (lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Blessed Be Your Name | Maranatha! Music (Lyric Video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Open The Eyes of My Heart | Maranatha! Music (Lyric Video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"His Mercy Is More","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"No Longer Slaves // Bridgette Morris // Gateway Worship Voices Official Lyric Video","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Victory in Jesus","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Cody Carnes (feat. Benjamin William Hastings) - Take You At Your Word (with lyrics)(2022)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Kristian Stanfill - Jesus Paid It All With Lyrics HD","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Phil Wickham - I Believe (with lyrics)(2023)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Cody Carnes - Run to the Father (with lyrics)(2020)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Agnus Dei.flv","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Shane & Shane - You've Already Won (Radio Version) (with lyrics)(2023)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Yes I Will - Vertical Worship Lyrics","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Michael W. Smith - The Heart Of Worship [with lyrics]","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Worthy by Elevation Worship | Worship Song Lyrics","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Death Was Arrested by North Point Insideout Ft.  Seth Condrey (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Promises (Lyrics)  Ft. Joe L Barnes & Naomi Raines | TRIBL MUSIC","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"How He Loves | Maranatha! Music (Lyric Video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Brandon Lake - Praise You Anywhere (with lyrics)(2023)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Phil Wickham - Hymn Of Heaven (with lyrics)(2021)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Do It Again - Elevation Worship (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Oceans (Where Feet May Fail) - Lyric Video HD","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"See a victory - Elevation Worship (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Aaron Williams (feat. Aaron Keyes) - Abide (with lyrics)(2022)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Mighty To Save - Lyric Video HD","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"A Thousand Hallelujahs (Live) by Brooke Ligertwood [Lyric Video]","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Elevation Worship - My Testimony (with lyrics)(2020)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Our God - Lyric Video HD","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Shout to the Lord.flv","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Jesus, We Love You - Paul McClure & Bethel lyric video","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Jesus Messiah | Maranatha! Music (Lyric Video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Give Me Jesus (feat. Abbie Gamboa) - UPPERROOM (Lyrics Video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"What He's Done by Passion Music (feat. Kristian Stanfill et al.) | Lyric Video by WordShip","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Brooke Ligertwood - Bless God (Lyric video)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Tremble - Mosaic (Lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Only a Holy God (Lyric Video) - Here Be Lions","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"The Lord's Prayer (It's Yours) - Matt Maher | WordShip","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Your Grace is Enough - Matt Maher (with lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"I'll Fly Away By Alan Jackson","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"I Exalt Thee by Alleliua Singers w/ Lyrics","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"The Belonging Co (feat. David Dennis) - The Joy (with lyrics)(2023)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
"Meredith Andrews - Open Up the Heavens - (with lyrics)","","","Top Worship Songs 2025 (CCLI Rank)","Playlist",""
