Song Title,Artist,Song Key,Intro,Pre-Chorus,Chorus,Bridge,Outro
Things I Prayed For,Eli Stone,D,       ,,C D Em C C D Em A C C D Em C C D Em A C D Em C G)                               ,            ,
Stand,Eli,A,A F#m E D       ,F#m E Bm E,F#m E Bm E D E F#m D D E F#m D D E A F#m E D                               ,            ,
Echo,Elevation Worship feat. Tauren Wells,Bm,Asus Bm G D       ,Asus Bm G D Asus Bm G G,Asus Bm G D Asus Bm G G Asus Bm G D Asus Bm G D Bm G G D Asus Bm G D Asus Bm G G Asus Bm G D Asus Bm G D Bm G G D Bm G G D Asus Bm G D Asus Bm G G Asus Bm G D Asus Bm G G Asus Bm G D Asus Bm G D Bm G G D Bm G G D                        ,            ,
Echo,Elevation Worship feat. Tauren Wells,D,D Asus Bm G D       ,Asus Bm G D Asus Bm G G,Asus Bm G D Asus Bm G G Asus Bm G D Asus Bm G D Bm G G D Asus Bm G D Asus Bm G G Asus Bm G D Asus Bm G D Bm G G D Bm G G D Asus Bm G D Asus Bm G G Asus Bm G D Asus Bm G G Asus Bm G D Asus Bm G D Bm G G D Bm G G D                        ,            ,
All Things,Elevation Worship,Gb,Gb Db       ,,Db Gb Db Gb Db Gb Db Ab Gb Ab Gb Ab Gb Ab Gb                               ,Gb Ab Bbm Ab Gb Ab Bbm Ab            ,
All Things New,Elevation Worship,Gb,Gb Db       ,,Ab Gb Ab Gb Ab Gb Ab Gb Db Gb Db Gb Db Gb Db                               ,Gb Ab Bbm Ab Gb Ab Bbm Ab            ,
Already Won,Elevation Worship,F,F C Dm Bb       ,C Dm Bb C Dm Bb,C Dm Bb C Dm Bb F Am Dm Bb F Am Dm Bb Dm C Dm F Gm F/A Bb                               ,            ,
Awaken,Elevation Worship,Gb,       ,,Gb Abm E Gb Abm E Gb Abm E Gb Abm E                                ,            ,
Be Lifted High,Elevation Worship,E,       ,,A# F Gm D#                                ,Cm D# A# F Cm D# A# F            ,
Blessed Assurance,Elevation Worship,C,       ,,C F2 C Am F2 Gsus G C F2 C Dm G F2 F2 C/E F2 Am7 F2 C F2 C F2 C F2 Am7 F2 C                                ,            ,
Blessed Assurance,Elevation Worship,Eb,Ab Eb/G Ab Eb/G       ,,Eb Ab Eb Cm Ab Bb Eb Ab Eb Fm Bb Ab Eb) Ab Eb/G Ab Cm Ab Eb Ab Eb Ab Eb Ab Cm Ab Eb G Ab Eb/G Ab Eb Ab                                ,            ,
Call Upon The Lord,Elevation Worship,C,       ,,C G F Am7 C F C G F Am7 C F C) C G F Am7 C F C G F Am7 C F C) Am7 F C                               ,Am7 F C C/E F C/G G Am7 F C C/E F C/G G            ,
Call Upon The Lord,Elevation Worship,C,       ,,C G F Am C F C G F Am C F C)                                ,Am F C F C G Am F C C F C G            ,
Call Upon The Lordcall,Elevation Worship,C,C5 F/C C5       ,,C G F Am C F C G F Am C F C Am F C Am F C                               ,Am F C C/E F Gsus G Am F C C/E F Gsus G            ,
Como En El Cielo (Here As In Heaven),Elevation Worship,G,G D G D G D G D A G D A G D A G/B D A G D A G D A G D A G/B D A G Bm A G Bm A A G D G D A G D A G D A G/B D A G D A G D A G D A G/B D A G Bm A G Bm A A G Bm A G Bm A A G A Bm A G A Bm A G A Bm A G A Bm A G A Bm A G A Bm A G A Bm A G A Bm A G Em A Bm A G Em A Bm A G Em A Bm A G D A G/B D A G D A G/B D A G D A G/B D A G D A G/B D A G       ,,                                ,            ,
Como En El Cielo (Here As In Heaven),Elevation Worship,D,       ,,                                ,            ,
Dir Gebührt Das Lob,Elevation Worship,C,C Em       ,,Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G                              ,C Em Am F C Em Am F C Em Am F C Em Am F         ,
,,,       ,,                                ,            ,
Do It Again,Elevation Worship,Bb,Eb Bb/D       ,,Eb/G F/A Bb Eb Eb/G F/A Bb Eb Bb/D D Eb Bb/D Eb D Eb Bb/D Eb Bb/D D Eb Bb/D Eb Bb/D Eb Bb/D Eb Bb/D Eb Bb/D Eb                              ,Eb Bb/D Eb F/A Bb F/A Bb Bb/D Eb Bb/D Eb F/A Bb F/A Bb Bb/D            ,
Do It Again,Elevation Worship,C,C G C G       ,,C G C C D G C G/B C G/B C                                ,G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G            ,
Do It Again,Elevation Worship,C,C G C G       ,,                                ,            ,
Do It Again,Elevation Worship,G, C C G G      ,,C D G C C D G C G/B C G/B C                                ,  G/B C G/B C D/F# G D/F# G G/B C G/B C D/F# G D/F# G          ,
Do It Again,Elevation Worship,C,C G C G       ,,C G C C D G C G/B C G/B C C G C C D G C C G C C D G C C G C C D G C C G C C D G C G/B C G/B C G/B C G/B C G/B C G/B C                              ,G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G            ,
Do It Again,Elevation Worship,G,C F C F       ,,F G C C F G C C F G C C F G C C F C C C F G C C C G C C D G C C G C C D G C G/B C G/B C G/B C G/B C G/B C G/B C                              ,G/B C G/B C D/F# G D/F# G G/B C G/B C D/F# G D/F# G G/B C G/B C D/F# G D/F# G G/B C G/B C D/F# G D/F# G G/B C G/B C D/F# G D/F# G G/B C G/B C D/F# G D/F# G            ,
Do It Again,Elevation Worship,C,C G C G       ,,C D G C C D G C G/B C G/B C C D G C C D G C C D G C C D G C C D G C C D G C C D G C C D G C G/B C G/B C G/B C G/B C G/B C G/B C                              ,G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G G/B C G/B C D/Gb G D/Gb G            ,
Ever Glorious,Elevation Worship,G,G Bm G Bm A       ,,A G D D/F# A G D D/F# A G D D/F# A G D G Bm G Bm A                                ,            ,
Everlasting Father,Elevation Worship,G,G D Bm G D Bm A       ,,G D A G D Bm A G D A G D/F# A G D/F# A                                ,D A/C# Bm A G D/F# G A            ,
Exalted One,Elevation Worship,A,A F#m D A F#m D A       ,,D A E F#m D A E D A E F#m D A E D A E                                ,D F#m A E D F#m A E            ,
First And Only,Elevation Worship,A,A E F#m D       ,,D E D F#m E D E D F#m E D E D F#m E D E D F#m E D E D F#m E D E D F#m E                              ,E D A E F#m D A            ,
For A Moment,Elevation Worship,C,C G F       ,,C G Am F Dm Am Gsus G C G Am F Dm Am Gsus G C C G F F/A F C/G G                               ,F/A F C/G G            ,
For The Honor,Elevation Worship,D,       ,D A Bm G D A Bm G,D A Bm G D A Bm G D A Bm G D A Bm G                               ,            ,
For The Lamb,Elevation Worship,Bm,       ,,G D G D G Bm A G D G A Bm                                ,D G A Bm D G A D            ,
Forever I Run,Elevation Worship,C,C Em D D       ,C Em D C Em D,C Em D C Em D C Em D G/B C Em D C Em D G/B D Em D C Em D D C Em D C Em D C Em D G/B C Em D C Em D G/B D Em D C Em D G/B C Em D C Em D G/B D Em D                            ,G/B C D Em G/B C D Em G/B C D Em G/B C D Em           ,
Fortress,Elevation Worship,F,F C Am G       ,,Am F C Am F C A Am F C Am F C A                                ,C Am F C C Am F C            ,
Fullness,Elevation Worship,C,Am F C C Am F C C       ,,G C/E F Am G C/E F C G C/E F Am G C/E F C C G C/E F Am G C/E F C G C/E F Am G C/E F Am G C/E F Am G C/E F C G C/E F Am G C/E F C C C C                              ,F Am G Dm F Am G Dm F Am G Dm F Am G Dm F Am G Dm F Am G Dm F Am G Dm F Am G Dm           ,
Fullness,Elevation Worship,Am,Am F C C Am F C C       ,,G C/E F Am G C/E F C G C/E F Am G C/E F C G C/E F Am G C/E F C G C/E F Am G C/E F Am G C/E F Am G C/E F C G C/E F Am G C/E F C                              ,F Am G Dm F Am G Dm F Am G Dm F Am G Dm F Am G Dm F Am G Dm F Am G Dm F Am G Dm           ,
