artist_name,spotify_artist_id,sample_genre,christian_signal,suggested_bucket,manual_bucket,notes,song_count
LMFAO,3sgFRtyBnxXD5ESfmbK4dl,pop,,review,,,7
Kenny Beats,1rHOtdmGNr5vcYNw5v7QGC,rap,,review,,,1
Marlango,1sssLDz8bNSqKkW1zndP0D,pop,,review,,,3
dreamcastmoe,05PeUup2zYw9VOGnaknbn9,soul,,review,,,1
Rio Romeo,22y08IZx7u6SWpsfap1Cub,alternative,,review,,,3
Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,country,,review,,,51
Sumo Cyco,3rSpnCzb6wtsvZlGkkcHz4,,,review,,,1
Felly,2848adRcxvgWNRcz1g1tQD,pop,,review,,,1
Doobie Powell,4HNewXYzkXW2o8oHuk3RQp,soul,,review,,,1
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,alternative,,review,,,1
Tigers Jaw,0tLaqkKW7K6tc3QF9SM0M8,alternative,,review,,,38
Nomy,20bAxKr0YrCvceZeLqs37e,rock,,review,,,19
Kelly Finnigan,0gdEDrF1Fve7FIBYcmX7W4,soul,,review,,,1
Kaylee Rose,0TKoBOWNrYm3FRIHvd1VfH,pop,,review,,,1
OXES,2Tzy67BoIDEM4uqIewpthf,rock,,review,,,1
Terrenoire,6AiHXHMryCtGFBEnjB17aA,pop,,review,,,1
Seventh Day Slumber,6kFLnclYFc3gzpNt13wim5,rock,,review,,,15
Jaya The Cat,3gRJFoOKgAkHI7EZTWKXRy,,,review,,,14
Emma Peters,6lY6kOVMG0mR07JTzU33o5,pop,,review,,,4
The Lawrence Arms,0aQ8Ow9YAkGxr5bbehjkcS,punk,,review,,,61
Sandy Denny,1kYd37riIExqdm9g0juqGJ,country,,review,,,1
Isles & Glaciers,6dHr8Y0nPrnHiBOuJzuu8F,,,review,,,4
Jared Anthony,5jojdq6ltCT6cbv6WpKikI,rap,,review,,,1
Rigoberta Bandini,7DOERbtkx9aTLvWzZSB0qx,pop,,review,,,3
Nucleya,2CkrXQPoBz8jTQ3u0ZeLPh,rap,,review,,,2
Jonah33,0Chu9tSPIjW9bGr5OLlvy0,rock,,review,,,3
Light The Torch,6RIRplpyp79REfeBrvW8rH,metal,,review,,,1
"John Gallagher, Jr.",5zjfQChzjrOvA9bCDiH1m5,,,review,,,2
Konsumo Respeto,1RmcjyvKHwr9TCZqfHMflP,punk,,review,,,4
Get Scared,5r9uIJCoquVtEkCkvcn8Ez,metal,,review,,,10
SPEECHLESS,0RUwm9ukhlW1oXDzXxj3C0,rap,,review,,,2
The People's Thieves,1tTuZa1MH1Q3RcSftJuTa3,,,review,,,3
The Porkers,4vBYqviD5QVXMsNO4Y2EdL,punk,,review,,,1
Orchestra Baobab,7xT0arvCDupDU1YYy0BNv9,pop,,review,,,1
End Of Green,2sVaW0noYw5antHR3te8lQ,rock,,review,,,5
VersaEmerge,429v4ypVJLyIyC4hKea0KN,pop,,review,,,15
Bobby Freeman,5oMWW19j0AXl7Sy4Xn9rmg,jazz,,review,,,5
Reijo Taipale,5I17kq37gUaHG6YeREMV0s,pop,,review,,,4
Pierre Rapsat,3Jsgw675Kwq2u5MxmBmW7g,pop,,review,,,5
Shin Sakiura,43NKdJzrtzg9rAzmbIUdW8,soul,,review,,,1
Timeshares,7nCENPbN4AqrvGncRBgJw1,,,review,,,1
De Vet Du,7iW0o1suit8xY24m9M5L0u,pop,,review,,,2
Roxette,2SHhfs4BiDxGQ3oxqf0UHY,pop,,review,,,12
LIL DUSTY G,3kBOtwy37e9fzJ3LFSnpbQ,rap,,review,,,9
Cheap Time,5ngGcwvis1MtTMT00zzoiF,pop,,review,,,1
Charlie Burg,0ubGY2CcC0tvR0eE6hJaT8,alternative,,review,,,2
Seo In Guk,433F0GjVZRnsjP8ztGEso1,pop,,review,,,1
Twin Bandit,0PFFKJfJZU5TbgQXIw8cBr,country,,review,,,1
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,rap,,review,,,2
KSW,2GhRzK7XzixKuZYEEfUkBR,,,review,,,1
Bobby Horton,4HCNUxTkoUzQPbq0XZoArj,country,,review,,,1
The Exciters,2GF1B0GIaFrLFLdfH6ufRO,soul,,review,,,2
Käptn Peng,4uJ0Z35toYgdlrDGF4eFY2,alternative,,review,,,1
JOY.,2sphpXGg1u97VSzbm5gR2P,pop,,review,,,1
Jerry Garcia Band,1YTe4dNIoWX3iHX8H4xVeM,rock,,review,,,1
The Asteroids Galaxy Tour,68g1s6VqLLLBI3tXR0Bb7C,,,review,,,2
Kingsmen,1KqnnHm6UY5FW6UENrzSVX,rock,,review,,,4
Sheryfa Luna,5BPQfQJaq5Hx0636gwk4uA,pop,,review,,,1
Kleber Lucas,1giin6byO7ehdqZBBmbI1N,,,review,,,1
Junior Reid,0qPUDOVD0aYR2lmCilnscs,reggae,,review,,,1
Beth Orton,6cLEWhEKQl6nAvgr60M7zC,country,,review,,,10
Fey,3uC20p2EoNm5LYtzSVWdkL,pop,,review,,,3
Corrinne May,76b92CaxVwSWrhAmVPUWUx,pop,,review,,,3
Squash,1HXkVBU6RwIxxN6xuI6b00,rap,,review,,,2
Ursus Factory,0Od2brltKfcyVsFOLmJqGA,alternative,,review,,,2
Tom Misch,1uiEZYehlNivdK3iQyAbye,soul,,review,,,16
Youngblood Hawke,6VXZCpbkwm0W0aPjQR1t4K,alternative,,review,,,3
Strawberry Switchblade,4z5NjzIMyaQC4dPxxzxF6e,pop,,review,,,2
Mazzy Star,37w38cCSGgKLdayTRjna4W,pop,,review,,,11
Alex Warren,0fTSzq9jAh4c36UVb4V7CB,,,review,,,5
The Jezabels,76KHdORVQMt7L6nVzvOUph,alternative,,review,,,2
Hannah Montana,7nU4hB040gTmHm45YYMvqc,pop,,review,,,23
Tony Anderson,3aRscMJRah0QrvGE5rkvZl,,,review,,,1
Anstandslos & Durchgeknallt,5R8zS6ofKclznKk3ffudoO,pop,,review,,,2
blessthefall,7t2C8WwLyKUKRe0LVh8zl9,metal,,review,,,6
Garasi,2gRPqdBXtPlMnD5yLzmq98,pop rock,,review,,,3
Ana Guerra,3MRynBsyLGzv3IQ9Fip6hO,pop,,review,,,1
Orla Gartland,3ajf12ub55b51qcS94d9Co,pop,,review,,,5
David Lindley,1l3MU8zV0Rf8qyB7dae38J,country,,review,,,1
Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,pop rock,,review,,,12
Trent Harmon,1YSoHvvSAY0oOJW7VxJx3M,country,,review,,,2
Bibio,0qzzGu8qpbXYpzgV52wOFT,country,,review,,,2
Vanilla Gorilla,3e7MNPIHLpofcxyY0Jw90q,rock,,review,,,4
Anuar Zain,4jseSNWUg2haVIdUZS8R1a,pop,,review,,,2
Better Than Ezra,4UuoJfJ9UybJft7a8E6UHX,pop rock,,review,,,1
Samuel Marklee,7uY0bC9vEhNAoAFVYevWiS,,,review,,,2
LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,alternative,,review,,,14
Matt Mays,0VlFTYaJsPHdN3Vb3EvBsn,alternative,,review,,,8
Eelke Kleijn,1FY8kqUQKHwjibwLbp5cey,electronic,,review,,,1
SPICA,5S3bx90A4ZX5RV02jRCOp9,pop,,review,,,1
Son House,15oeqKO5k5uZ5773tWvpda,jazz,,review,,,2
Fallulah,4e2tVpGd0doErQ4dzVyxu6,pop,,review,,,1
APRE,16oEz0ihXl8elwxOS0YMNF,alternative,,review,,,1
Sheila,5fhRcv2KU96vbXqNE2FEdu,pop,,review,,,1
Forth Wanderers,5UjbehtgZGbNmmanbVW9Bs,alternative,,review,,,7
Los Hitters,3Cqn20hCMJisWINCRSOkZT,rock,,review,,,3
MC Bruninho,3shPgAzHMyRwWOkXeoWKeB,pop,,review,,,1
Josh Kelley,1yLlQimDTRrACa45u50LXW,pop,,review,,,18
Akcent,10wjV72OetIdsUQEcjSnOd,,,review,,,1
Aynsley Lister,7hueZY91Csxv57p4KnPVcU,jazz,,review,,,5
Porter,7eBQrhxTHcor6gcbcLhqE5,alternative,,review,,,3
Chris Andrian Yang,74DSMvAfXpnN3c1KCfvFwQ,,,review,,,3
Les Amis D'ta Femme,27zZxSk7AynBSC0XYiivLp,pop rock,,review,,,2
Ida Redig,2Q5xMO7xxS59W7ipdDQMQe,pop,,review,,,2
"Christone ""Kingfish"" Ingram",5jMGnqJkgPaiJzwy5bOcYX,jazz,,review,,,8
Heaven Shall Burn,4sy5qWfwUwpGYBnCKnwfcW,metal,,review,,,1
Atom And His Package,4I6LjrgKVERp2HF7y5LbkF,pop rock,,review,,,2
Jape,0B8PsrzBwDT5sBAJq60HZg,rock,,review,,,1
Todrick Hall,0gBvuNzrFCOVaiyKexoYMH,,,review,,,4
Amp Fiddler,39g75EmRFeFbvHhsGjUpLU,jazz,,review,,,1
The Cribs,51Eq6WMVEOjjx9KQMAnneG,pop rock,,review,,,6
LEISURE,7b04D0yLktCUpvxQBhmG7R,alternative,,review,,,5
Thousand Foot Krutch,6GfiCQDFYANz5wUkSmb3Dr,metal,,review,,,40
Motörhead,1DFr97A9HnbV3SKTJFu62M,metal,,review,,,6
Chad Hates George,6nZs04GLkNYMWY2WMHfEpz,punk,,review,,,6
CHVRCHES,3CjlHNtplJyTf9npxaPl5w,pop,,review,,,33
Vivien Savage,4JB4YibTxVBeW30DtePCZT,pop,,review,,,1
Mason Jennings,6CQrZZn0g2ZNfIcXbi4pdo,,,review,,,11
Talat Mahmood,2fi9hpqNbi5neTbKSqG0vW,,,review,,,1
Lorenzo,62zLrboqOTPyozwi721CVy,rap,,review,,,1
Ali Sethi,3NegWDGp038A3FIi3gSYzl,pop,,review,,,1
Vian Izak,46U5WmejGzsPqUiw3Uw0Xq,,,review,,,6
Austin George,5SVHLhz1Vv5m4xmkT4Pk6D,soul,,review,,,3
Mandisa,0YPElKYjOD1sofFCtLdYj3,rock,,review,,,15
Kevin Denney,7IGC89BUqUzXHFocEqcoow,country,,review,,,2
Jacques Brel,4RN2vlFWepLa46qQIU2PHs,,,review,,,15
Curren$y,6X8WdFjrNhXATMDSs26aCc,rap,,review,,,1
Alice Ripley,7KLUKenP88WNsnb7MKa70M,,,review,,,1
Empathy Test,4WM2JNPCcZ7f6M72C0bTyM,pop,,review,,,4
Airways,5fRpvt0RU5UL6YwQekpofE,rock,,review,,,3
Raised Fist,7ik758oYwkKmQtbZtAdOOm,,,review,,,1
Rozwell Kid,3g43Z25cVRJHFn8ph8cdO0,alternative,,review,,,2
Sarah Buxton,2xTlb6eueddQmWsxImpDbP,country,,review,,,1
Tusse,1BwDWgdDJe3TJXLZkBkpsI,pop,,review,,,3
Jont,27PAZpDiy0LBXUVkQ7D2UY,pop,,review,,,2
Dead Poet Society,31M8EXHYtEqOqVb1X7JRVe,alternative,,review,,,2
Dillon Carmichael,3lvYE3o75PNjyvcKuBPXo6,country,,review,,,7
Joe Mullins & The Radio Ramblers,1nlVHZslyaaNB0p5SUJe17,,,review,,,1
AFK,3eIM4tCQTGJXb0RDPfF2wL,,,review,,,1
Zack Tabudlo,67IN4cLJ7798gUapyZlmac,pop,,review,,,20
Melt,0G7KI9I5BApiXc5Sqpyil9,soul,,review,,,5
Suzanne Vega,3X0tJzVYoWlfjLYI0Ridsw,pop,,review,,,10
Angels Of Light,45KTYxYRDjlP4cAd2imJif,rock,,review,,,3
Young & Sick,3pQXFWbvLit77NpvNmOo3k,pop,,review,,,1
Kuzu Mellow,30zfTLecaC1zCXFXGTYNWB,rap,,review,,,2
Armani White,2qAwMsiIjTzlmfAkXKvhVA,rap,,review,,,1
Loote,00TKPo9MxwZ0j4ooveIxWZ,pop,,review,,,11
Little Apple Band,3FCu4XKU7SMobrCqEnTRSJ,,,review,,,1
Sam Airey,1VTqcwo2gWop75nRqyCGJw,pop,,review,,,2
Ry Cooder,1CPwHx5lgVxv0rfcp7UXLx,jazz,,review,,,4
Patrick Bruel,0vmrFTWCwK3gFGDzeUzeMg,pop,,review,,,4
Dalriada,4mIdyUBqjS36BQHYFBbGjm,metal,,review,,,1
Josh Melton,5l5SDQs2xyEidWQOw3ro6T,pop,,review,,,2
Yuna,3kHVioJpVxlazAAKQ64pC1,pop,,review,,,1
Mount Eerie,4Sw0SFu1fFdYXdAEVdrqnO,pop,,review,,,17
The 1975,3mIj9lX2MWuHmhNCA7LSCW,pop rock,,review,,,42
Emma Oliver,7KUmMAnwfGBOs77ReTZJte,,,review,,,1
Elizabeth Cook,0dyEUZv8ftA0dzL5vb2Y9s,country,,review,,,1
Winona Oak,3XC57xz74X3xUi1hv4mge1,pop,,review,,,15
King King,4SXsNXgRundFdewI58vbZT,jazz,,review,,,1
The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,pop rock,,review,,,1
Camélia Jordana,2XkCa3HcntokIgOP5N3QO7,country,,review,,,1
Collision of Innocence,35wkX6HAVNXCsDF79SnoGc,rock,,review,,,1
Robert Jon & the Wreck,4FXvPjJz57tIo23OpzHlYC,rock,,review,,,13
The Flying Burrito Brothers,0rESpKEusFHxhW59MIf7eM,rock,,review,,,10
Emmanuel Horvilleur,3Pc0Gebx1aAAJlZh3zysmI,alternative,,review,,,1
Silly Boy Blue,4m9uyzV105Mtdiz7mEco9J,alternative,,review,,,1
Kid Rock,7dOBabd5O4CvKrg4iriHTM,metal,,review,,,35
little hurricane,5VLQQzAkJrzG7QggE4DVg2,rock,,review,,,6
Glee Cast,0SCbttzoZTnLFebDYmAWCm,pop,,review,,,93
KAYEF,4hXT6A14n901v8DU5Of337,pop,,review,,,1
Belgian Asociality,7914wQVYEuUYFCJKr4rBkx,metal,,review,,,1
Methyl Ethel,3I3Fz1DeUY0icXFvOjbXm7,alternative,,review,,,5
Los De Adentro,282UIRNs6aprjrs0ynDn6v,rock,,review,,,1
Zane Williams,7LjXLho6TAS9wkSfnjd0AX,country,,review,,,5
Matt Andersen,2dOaom01dm1MhNLnyHpWD5,jazz,,review,,,7
Los Bravos,7ewJCECkpkh56w0Y4VWzSY,,,review,,,1
Toad The Wet Sprocket,4j7EVY3kuDwLPfD2jfC7LC,pop rock,,review,,,3
Phony Ppl,0oBsnAC3fzYkTHF3bkfNx6,soul,,review,,,5
