artist_name,spotify_artist_id,sample_genre,song_count,lastfm_top_tags,refined_bucket,refined_confidence,refined_reason,manual_bucket,notes
Adawnage,23AJRPsc0fX6FvUnaLu9b3,,2,pop | christian | kenya,christian,medium,christian tag in lastfm tags,,
Agraceful,13s1X8jBhNaN0r3hmTVLUm,,1,post-hardcore | metalcore | christian | screamo | hardcore | emocore | Christian Metalcore | christian post-hardcore,christian,medium,christian tag in lastfm tags,,
Anchor & Braille,0ofu3spkMmDV3INNoMtXbM,rock,10,indie | acoustic | ambient | piano | rock | alternative | christian | piano rock,christian,medium,christian tag plus sample genre,,
As Cities Burn,7eJA8CZoXCETi9axIfBFGT,,8,post-hardcore | christian | hardcore | screamo | indie rock | indie | post hardcore | rock,christian,medium,christian tag in lastfm tags,,
As I Lay Dying,2vd2HnNh4pdYa9gDVHFjEu,metal,2,metalcore | Melodic Death Metal | hardcore | metal | christian | melodic metalcore | Christian Metalcore | american,christian,medium,christian tag plus sample genre,,
August Burns Red,5p9CTsn5ueGU4oScNX1axu,metal,4,metalcore | hardcore | Christian Metalcore | christian | metal | Technical Metalcore | melodic metalcore | Progressive Metalcore,christian,medium,christian tag plus sample genre,,
Austin French,5m8b1Ofn4kNkzRV84GopBU,rock,5,american | christian,christian,medium,christian tag plus sample genre,,
Avion Blackman,0lEo8Bgl7QGsRRZXZr8mWO,reggae,1,christian | reggae | folk | soul | christian reggae | gospel-reggae | lounge | 74,christian,medium,christian tag in lastfm tags,,
Being As An Ocean,7ML9AQvVVE3c5m0sx1PlmP,metal,6,melodic hardcore | post-hardcore | hardcore | post-rock | ambient | christian | american | metalcore,christian,medium,christian tag plus sample genre,,
Ben Rector,4AapPt7H6bGH4i7chTulpI,pop rock,66,singer-songwriter | piano rock | piano | christian | pop rock | pop | oklahoma | tulsa,christian,medium,christian tag in lastfm tags,,
Benjah,5qJjtRftP42zv3LBnIzOEr,rap,1,Christian Rap | reggae | Island Soul Rock | rap | american | christian | hot 95 9 | under 2000 listeners,christian,medium,christian tag plus sample genre,,
Betraying The Martyrs,4tEWLl4loWFLgs25trNnro,metal,1,deathcore | metalcore | christian | Melodic Death Metal | french | symphonic deathcore | metal | Melodic Deathcore,christian,medium,christian tag plus sample genre,,
blessthefall,7t2C8WwLyKUKRe0LVh8zl9,metal,6,post-hardcore | screamo | metalcore | emocore | hardcore | emo | christian | post hardcore,christian,medium,christian tag plus sample genre,,
Capital Kings,3lTIrl4h1Vov8fDaNqXUof,electronic,4,electronic | electropop | christian | pop | synthpop | pop rock | techno | male vocalists,christian,medium,christian tag in lastfm tags,,
Carr Family,7kRiiX8cYVPrNr2C5gczaW,,4,christian | Family Gospel,christian,medium,christian tag in lastfm tags,,
Cathy Burton,34ejTUpXgcgk63yNgmOspG,electronic,1,female vocalists | rock | christian | trance | singer-songwriter | vocal trance | British Christian music | chillout,christian,medium,christian tag in lastfm tags,,
