artist_name,spotify_artist_id,sample_genre,christian_signal,suggested_bucket,manual_bucket,notes,song_count,lastfm_top_tags,lastfm_christian_signal,lastfm_suggested_bucket,lastfm_lookup_status,refined_bucket,refined_confidence,refined_reason
LMFAO,3sgFRtyBnxXD5ESfmbK4dl,pop,,review,,,7,electronic | Hip-Hop | electro | Crunk | hip hop | dance | pop | american,,,ok,,,
Kenny Beats,1rHOtdmGNr5vcYNw5v7QGC,rap,,review,,,1,beats | Hip-Hop | hip hop | electronic | The Police | instrumental hip-hop | instrumental | rap,,,ok,,,
Marlango,1sssLDz8bNSqKkW1zndP0D,pop,,review,,,3,jazz | spanish | female vocalists | Jazz-Pop | indie | pop | spain | blues,,,ok,,,
dreamcastmoe,05PeUup2zYw9VOGnaknbn9,soul,,review,,,1,soul | funk | synth funk | synthpop | DC | Hip-Hop | rnb | funk_add_to_lidarr_batch_30,,,ok,,,
Rio Romeo,22y08IZx7u6SWpsfap1Cub,alternative,,review,,,3,indie | cabaret | USA | queer | lesbian | nonbinary | female vocalists | alt,,,ok,,,
Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,country,,review,,,51,country | country rock | male vocalists | Real Country | modern country | All | american | country-rock,,,ok,,,
Sumo Cyco,3rSpnCzb6wtsvZlGkkcHz4,,,review,,,1,hard rock | rock | alternative metal | Canadian | alternative | female vocalists | metal | Nu Metal,,,ok,,,
Felly,2848adRcxvgWNRcz1g1tQD,pop,,review,,,1,Hip-Hop | rap | House | hip hop | dance | electronic | los angeles | alternative hip-hop,,,ok,,,
Doobie Powell,4HNewXYzkXW2o8oHuk3RQp,soul,,gospel,,,1,Contemporary Gospel,contemporary gospel,gospel,ok,gospel,high,contemporary gospel
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,alternative,,review,,,1,pop | indie pop | synthpop | queer | electropop | my top songs | american | female vocalists,,,ok,,,
Tigers Jaw,0tLaqkKW7K6tc3QF9SM0M8,alternative,,review,,,38,emo | pop punk | indie rock | indie | rock | punk | punk rock | Pop-punk,,,ok,,,
Nomy,20bAxKr0YrCvceZeLqs37e,rock,,review,,,19,rock | alternative rock | hard rock | swedish | alternative | Sweden | punk rock | punk,,,ok,,,
Kelly Finnigan,0gdEDrF1Fve7FIBYcmX7W4,soul,,review,,,1,soul | blues | rnb | folk | san francisco | USA | deep funk | retro soul,,,ok,,,
Kaylee Rose,0TKoBOWNrYm3FRIHvd1VfH,pop,,review,,,1,country | pop | singer-songwriter | indie | female vocalists | USA | country pop | United States,,,ok,,,
OXES,2Tzy67BoIDEM4uqIewpthf,rock,,review,,,1,math rock | instrumental | noise rock | post-rock | Baltimore | rock | post-hardcore | Bands I have seen live,,,ok,,,
