file_name,title,author,spotify_song_id,artist_name_db,track_name_db,summary,similarity_score,section_snapshot,opensong_source_path
a little longer i46068,A Little Longer,Bethel Music,,Bethel Music,A Little Longer,OpenSong comparison found a low similarity in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=1 2 3m 1 2 3m 6m | opensong_chorus=b3 4 b3 4 1m,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a little longer i46068
a love that carries me i48410,A Love That Carries Me,Rivers & Robots,42yttCKOVEJTs5fl7aRTFb,Rivers & Robots,A Love That Carries Me,OpenSong comparison found a low similarity in bridge (similarity 0.00) for this likely matching song.,0.00,db_bridge=2/3 6/3 2/3 | opensong_bridge=2 5 b7 2 5 b7 2 5 b7m b7 2 5 b7m b7,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a love that carries me i48410
a strong tower i64637,A strong tower,Clinton Utterbach,,"Clinton Utterbach, Clinton Utterbach",A strong tower,OpenSong comparison found a low similarity in verse (similarity 0.00) for this likely matching song.,0.00,db_verse=1 4 5 3m 4 b6 1 4 5 3m 4 1 | opensong_verse=3,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a strong tower i64637
across the universe i48076,Across The Universe,Mosaic MSC,,Mosaic MSC,Across The Universe,OpenSong comparison found a low similarity in chorus (similarity 0.25) for this likely matching song.,0.25,db_chorus=1 6m 3m 2 1 6m 3m 2 1 6m 3m 2 1 6m 3m 2 1 6m 3m 2 1 6m 3m 2 | opensong_chorus=1 6m 3m 1 6m 3m,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\across the universe i48076
alive in you i46648,Alive In You,Jesus Culture,,Jesus Culture,Alive In You,OpenSong comparison found a low similarity in bridge (similarity 0.14) for this likely matching song.,0.14,db_bridge=4 5 6m 2m 1 2m 1 4 5 6m 2m 1 2m 1 | opensong_bridge=5 6 7m 3m 2 3m 2 5 6 7m 3m 2 3m 2,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alive in you i46648
all bow down i41971,All Bow Down,"Chris Tomlin, Ed Cash",,Chris Tomlin,All Bow Down,OpenSong comparison found a low similarity in chorus (similarity 0.33) for this likely matching song.,0.33,db_chorus=b7 4 1 b7 4 1 b7 4 1 b7 4 1 | opensong_chorus=4 1 5 4 1 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all bow down i41971
all creatures of our god and king i41972,All Creatures of Our God and King,"St. Francis of Assisi, William Henry Draper, David Crowder, Brent Milligan",,"from Geistliche Kirchengesäng, Köln, 1623, Francis of Assisi (1181/1182-1226)",All Creatures of Our God and King,OpenSong comparison found a low similarity in chorus (similarity 0.35) for this likely matching song.,0.35,db_chorus=4 5 1 2m 1 4 5 6m 6m 2 5 6m 2 5 4 5 1 | opensong_chorus=4 1 4 6m 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all creatures of our god and king i41972
all heaven declares i92,All heaven declares,"Noel Richards, Tricia Richards",,"Noel Richards, Tricia Richards",All Heaven Declares,OpenSong comparison found a low similarity in chorus (similarity 0.50) for this likely matching song.,0.50,db_chorus=4 5 1 5 6m 4 5 1 4 1 1 5 4 4 1 1 4 5 4 1 | opensong_chorus=1 4 5 1 5 6m 4 5 4 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all heaven declares i92
all we need i41982,All We Need,Charlie Hall,,Charlie Hall,All We Need,OpenSong comparison found a low similarity in bridge (similarity 0.43) for this likely matching song.,0.43,db_bridge=2m 6m 2m 6m 2m 6m 4 | opensong_bridge=6m 2m 6m 2m 6m 4 1 5 6m 4 1 5 6m 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all we need i41982
all youve ever wanted i45717,All You've Ever Wanted,Casting Crowns,5lSVszuv0PGnfvh2HTWq1k,Casting Crowns,All You've Ever Wanted,OpenSong full progression differs strongly from current canonical progression (similarity 0.17).,0.17,db_reference=5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 | opensong_full=1 2m b7 4 1 4m 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 b7 1 2m b7 4 1 2m b7 4 1 2m 4 b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 b7 1 2m 1 1 2m b7 1 2m b7 1 1 2m b7 1 4 1 2m b7 1 2m b7 4 1 2m b7 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m b7 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all youve ever wanted i45717
alle i41986,Alle,"Ross King, Chris Tomlin",,Chris Tomlin,Alle,OpenSong full progression differs strongly from current canonical progression (similarity 0.23).,0.23,db_reference=1 4 6m 1 4 6m | opensong_full=1 5 4 5 1 5 4 5 1 5 4 5 4 4 5 4 5 1 4 6m 5 1 4 6m 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alle i41986
alpha and omega i1848,Alpha and Omega,"Israel Houghton, Erasmus Mutanbira",0YyJOv91ckymoR28tK2wyz,Israel Houghton,Alpha and Omega,OpenSong comparison found a low similarity in verse (similarity 0.00) for this likely matching song.,0.00,db_verse=2 6/b2 2 6 2 6/b2 2 6 | opensong_verse=4 b7 4 5m 1 4 1 4 2m 6m b7 4 5m 1 4 5m 1 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alpha and omega i1848
amazing grace i1844,Amazing Grace,"Chris Tomlin, Carrell, James P. (1787-1854), Clayton, David L., Newton, John (1725-1807), John Newton, Chris Tomlin, John Newton",,John Newton,Amazing Grace,OpenSong comparison found a low similarity in verse (similarity 0.43) for this likely matching song.,0.43,db_verse=1 4 1 5 4 1 1 4 1 4m 5 4 1 1 4 1 5 1 1 4 1 5 4 1 1 4 1 5 1 1 4 1 5 4 1 1 4 1 5 1 1 4 1 5 4 1 #4 #4 1 4 1 5 1 1 4 1 5 4 1 4 1 4 1 5 1 1 4 1 5 4 1 1 4 1 5 #4 1 1 4 1 5 4 1 | opensong_verse=1 4 1 5 6 1 4 1 5 1 6m 1 4 1 5 1 4 1 5 1 1 4 1 5 1 4 1 5 1 b7 b7 1 4 1 5 1 4 1 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazing grace i1844
amazing love i1747,Amazing Love,Billy James Foote,,Billy James Foote,Amazing Love,OpenSong full progression differs strongly from current canonical progression (similarity 0.34).,0.34,db_reference=1 4 1 b6 5 1 4 1 5 4 5 1 | opensong_full=1 4 b6 5 1 4 b6 5 1 4 b6 5 4 5 1 1 4 1 b6 5 1 4 1 b6 5 4 5 1 1 4 1 4 1 4 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazing love i1747
anchor i46856,Anchor,Bethel Music,,Bethel Music,Anchor,OpenSong comparison found a low similarity in pre_chorus (similarity 0.00) for this likely matching song.,0.00,db_pre_chorus=6m 5 4 6 6m 5 4 5 | opensong_pre_chorus=1m b7 b6 b7 1m b7 b6 b7,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\anchor i46856
and now my lifesong sings i96551,And Now My Lifesong Sings,Casting Crowns,,Casting Crowns,And Now My Lifesong Sings,OpenSong full progression differs strongly from current canonical progression (similarity 0.10).,0.10,db_reference=4 1 6m 5 4 5 6m 5 | opensong_full=1 2m 1 4 6m 4 b6 5 6m 5 4 2m 1 b6 5 1 2m 1 4 6m 4 b6 5 6m 5 4 2m 1 b6 5 1 2m 1 4 5 6m 4 b6 5 6m 5 4 2m 1 b6 5 2m 1 4 5 6m 5 1 5 6m 5 4 2m 5 4 b6 5 4 b6 5 4 1 6m 5 b6 5 4 5 6m 5 b6 5 4 5 6m b6 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\and now my lifesong sings i96551
arise i48416,Arise,Rivers & Robots,1Mbmvn8vVfmLp6R6wzFegP,Rivers & Robots,Arise,OpenSong comparison found a low similarity in verse (similarity 0.25) for this likely matching song.,0.25,db_verse=5 1 3m 1 5 1 3m 1 | opensong_verse=1 4 6m 4 1 4 6m 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\arise i48416
as it is in heaven i47189,As It Is (In Heaven),Hillsong Worship,,Hillsong Worship,As It Is (In Heaven),OpenSong comparison found a low similarity in chorus (similarity 0.27) for this likely matching song.,0.27,db_chorus=6m 4 1 6m 1 4 5 1 6m 4 1 6m 1 4 5 1 4 1 6m 1 4 1 6m 1 6m 4 1 6m 1 4 5 1 4 2m 1 6m 4 5 1 4 1 6m 1 4 1 6m 1 6m 4 1 6m 1 4 5 1 | opensong_chorus=4 1 6m 1 4 1 4 1 6m 1 4 4 1 6m 1 4m,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\as it is in heaven i47189
