file_name,file_path,title,author,key,reason
a child of the king i64351,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a child of the king i64351,A Child Of The King,,,"missing_author,missing_chords"
a christians daily prayer i109290,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a christians daily prayer i109290,A Christian's Daily Prayer,"Jordan Kauflin, Dave Fournier, Matt Merker",,missing_chords
a christmas alleluia i48622,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a christmas alleluia i48622,A Christmas Alleluia,Chris Tomlin,,missing_chords
a little talk with jesus i109360,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a little talk with jesus i109360,A Little Talk With Jesus,Anne Louise Ashley-Greenstreets,,missing_chords
a love so amazing i85,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a love so amazing i85,A Love so Amazing,,,"missing_author,missing_chords"
a new commandment i25594,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a new commandment i25594,A new commandment,,,"missing_author,missing_chords"
a new hallelujah i101648,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a new hallelujah i101648,A new Hallelujah,,G,missing_author
a place called grace i64166,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a place called grace i64166,A place called grace,,,"missing_author,missing_chords"
a song for the birds matthew 626 i48603,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a song for the birds matthew 626 i48603,A Song For The Birds (Matthew 6:26),Rivers & Robots,,missing_chords
a thousand hallelujahs i109071,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a thousand hallelujahs i109071,A Thousand Hallelujahs,"Brooke Ligertwood, Scott Ligertwood, Phil Wickham",,missing_chords
abba father let me be i811,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abba father let me be i811,"Abba Father, Let Me Be",,G,missing_author
abide among us with thy grace i11046,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abide among us with thy grace i11046,Abide Among Us with Thy Grace,"Vulpius, Melchior (1560-1615), Stegmann, Joshua (1588-1632)",Eb,missing_chords
abide o dearest jesus i11046,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abide o dearest jesus i11046,"Abide, O Dearest Jesus","Vulpius, Melchior (1560-1615), Stegmann, Joshua (1588-1632)",Eb,missing_chords
abide with us lord jesus i11046,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abide with us lord jesus i11046,"Abide with Us, Lord Jesus","Vulpius, Melchior (1560-1615), Stegmann, Joshua (1588-1632)",Eb,missing_chords
abide with us our savior i11046,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abide with us our savior i11046,"Abide with Us, Our Savior","Vulpius, Melchior (1560-1615), Stegmann, Joshua (1588-1632)",Eb,missing_chords
above all i3275,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\above all i3275,Above All,"Lenny LeBlanc, Paul Baloche",Em,missing_chords
adonai i49140,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\adonai i49140,Adonai,"Juan Salinas, Marcos Witt",Em,missing_chords
adonai i55306,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\adonai i55306,Adonai,,,"missing_author,missing_chords"
adoramus te christe k240 i88639,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\adoramus te christe k240 i88639,"Adoramus te, Christe K240",Jacques Berthier,F#m,missing_chords
adoration i1961,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\adoration i1961,Adoration,,G,missing_author
aint gonna let not rock i98908,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\aint gonna let not rock i98908,Ain't Gonna Let Not Rock,Ron Kenoly,,missing_chords
aint no grave feat molly skaggs i55271,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\aint no grave feat molly skaggs i55271,Ain't No Grave (feat. Molly Skaggs),,,"missing_author,missing_chords"
alas and did my savior bleed and did my sovereign die i101198,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alas and did my savior bleed and did my sovereign die i101198,"Alas, and did my Savior bleed and did my sovereign die",,,"missing_author,missing_chords"
alas and did my savior bleed i8985,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alas and did my savior bleed i8985,Alas! and did my Savior bleed,Isaac Watts & Ralph E. Hudson,,missing_chords
alelluia alelluia for our lord i93282,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alelluia alelluia for our lord i93282,Alelluia Alelluia for our Lord,,,"missing_author,missing_chords"
alive alive alive forevermore i6337,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alive alive alive forevermore i6337,"Alive, Alive, Alive Forevermore",,G,missing_author
alive i108610,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alive i108610,Alive,Hillsong Young & Free,Em,missing_chords
all about you i98909,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all about you i98909,All About You,,E,missing_author
all day i64540,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all day i64540,All day,,G,missing_author
all for love i98918,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all for love i98918,All for love,,G,missing_author
all for you i41974,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all for you i41974,All For You,Jon and Tim Neufeld,,missing_chords
all glory i1672,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all glory i1672,All Glory,,Em,"missing_author,missing_chords"
all glory laud and honor i11054,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all glory laud and honor i11054,"All Glory, Laud, and Honor","Teschner, Melchior (1584-1635), Theodulf of Orleans (760-821)",C,missing_chords
all glory to the king of ages i122,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all glory to the king of ages i122,All Glory to the King of Ages,,,"missing_author,missing_chords"
all hail the lamb i46,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all hail the lamb i46,All Hail the Lamb,,,"missing_author,missing_chords"
all honour i1672,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all honour i1672,All Honour,,Em,"missing_author,missing_chords"
all i am is yours i48611,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all i am is yours i48611,All I am is Yours,Youth Alive,,missing_chords
all i need is you i4753,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all i need is you i4753,All I Need Is You,Marty Sampson,,missing_chords
all in i55086,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all in i55086,All In,,,"missing_author,missing_chords"
all is for your glory i49093,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all is for your glory i49093,All is for Your glory,Cory Asbury,Bm,missing_chords
all is well i107912,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all is well i107912,All is well,Michael W Smith,,missing_chords
all is well i64492,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all is well i64492,All is well,,,"missing_author,missing_chords"
all my hope is in jesus i104561,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all my hope is in jesus i104561,All my hope is in Jesus,,,"missing_author,missing_chords"
all my love i48628,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all my love i48628,All My Love,Jonathan Ogden,,missing_chords
all my sorrows you have turned to a dance i49140,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all my sorrows you have turned to a dance i49140,All my sorrows You have turned to a dance,"Juan Salinas, Marcos Witt",Em,missing_chords
all praise and honor i60567,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all praise and honor i60567,All praise and honor,Paul Baloche,,missing_chords
all praise to him i102425,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all praise to him i102425,All Praise to Him,"Matt Merker, Bob Kauflin",,missing_chords
all that i have all that i am i63962,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all that i have all that i am i63962,"All that I have, all that I am",,,"missing_author,missing_chords"
all the earth i90453,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all the earth i90453,All the Earth,,,"missing_author,missing_chords"
all the earth will sing your praises i12050,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all the earth will sing your praises i12050,All the Earth Will Sing Your Praises,Paul Baloche,,missing_chords
all the glory i106685,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all the glory i106685,All the glory,,,"missing_author,missing_chords"
all the heavens i1872,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all the heavens i1872,All the Heavens,Hillsong,Am,missing_chords
all the power you need i93318,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all the power you need i93318,All The Power You Need,Hillsong Worship,,missing_chords
all the way i64436,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all the way i64436,All the Way,,G,"missing_author,missing_chords"
all the way my saviour leads me i7018,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all the way my saviour leads me i7018,All the way my Saviour leads me,,C,missing_author
all things are possible i98919,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all things are possible i98919,All Things Are Possible,,C,missing_author
all to him i98844,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all to him i98844,All to Him,New Life Worship,,missing_chords
all we like sheep i91772,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all we like sheep i91772,All We Like Sheep,Don Moen,,missing_chords
alleluia i6295,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alleluia i6295,Alleluia,Jude Del Hierro,,missing_chords
alleluia i92342,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alleluia i92342,Alleluia,Jerry Sinclair,,missing_chords
alleluia to the lamb i106178,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alleluia to the lamb i106178,Alleluia to the Lamb,,,"missing_author,missing_chords"
almighty god i90865,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\almighty god i90865,Almighty God,Antônio Cirilo,,missing_chords
almost there i108998,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\almost there i108998,Almost there,,Bbm,"missing_author,missing_chords"
alpha and omega i12484,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alpha and omega i12484,Alpha and Omega,,,"missing_author,missing_chords"
always good i98600,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\always good i98600,Always Good,Hannah McClure / Rita Springer,,missing_chords
amazed i3641,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazed i3641,Amazed,,D,missing_author
amazing grace i64545,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazing grace i64545,Amazing grace,,D,missing_author
amazing grace i76291,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazing grace i76291,Amazing Grace,John Newton,,missing_chords
amazing grace i89974,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazing grace i89974,Amazing Grace,,,"missing_author,missing_chords"
amazing grace shall always be i64137,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazing grace shall always be i64137,Amazing grace shall always be,,,"missing_author,missing_chords"
ancient words i64311,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\ancient words i64311,Ancient words,,F,missing_author
and my soul knows very well i99005,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\and my soul knows very well i99005,And my Soul knows very well,,,"missing_author,missing_chords"
angel voices ever singing i11062,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\angel voices ever singing i11062,"Angel Voices, Ever Singing","Monk, Edwin George (1819-1900), Pott, Francis (1832-1909)",C,missing_chords
another in the fire i98329,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\another in the fire i98329,Another In The Fire,,Am,"missing_author,missing_chords"
anything that cost me nothing i103970,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\anything that cost me nothing i103970,ANYTHING THAT COST ME NOTHING,,Em,"missing_author,missing_chords"
are ye able said the master i98659,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\are ye able said the master i98659,"""Are ye able,"" said the Master",Earl Marlatt,,missing_chords
are you washed by the water i64114,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\are you washed by the water i64114,Are you washed by the water,,,"missing_author,missing_chords"
arise and go i87332,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\arise and go i87332,Arise and Go,,,"missing_author,missing_chords"
arise possess your inheritance i64505,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\arise possess your inheritance i64505,Arise possess your inheritance,,E,missing_author
arise shine i97410,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\arise shine i97410,Arise Shine,Kent Henry,,missing_chords
as a parched land thirsts for water i3846,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\as a parched land thirsts for water i3846,As A Parched Land Thirsts for Water,Turgay Üçal,,missing_chords
as david did i96951,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\as david did i96951,As David Did,Marty J. Nystrom,,missing_chords
