title_csv,artist_csv,spotify_song_id,title_db,artist_db,summary,similarity_score,section_snapshot
Call Upon The Lord,Elevation Worship,,Call Upon The Lord,Elevation Worship,worship_songs.csv differs in chorus (similarity 0.45) for this likely matching song.,0.45,db_chorus=1 5 4 6m 1 4 1 5 4 6m 1 4 1 1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1 | csv_chorus=1 5 4 6m 1 4 1 5 4 6m 1 4 1
Do It Again,Elevation Worship,,Do It Again,Elevation Worship,worship_songs.csv differs in intro (similarity 0.25) for this likely matching song.,0.25,db_intro=4 1 | csv_intro=1 5 1 5
Do It Again,Elevation Worship,,Do It Again,Elevation Worship,worship_songs.csv differs in intro (similarity 0.25) for this likely matching song.,0.25,db_intro=4 1 | csv_intro=1 5 1 5
Do It Again,Elevation Worship,,Do It Again,Elevation Worship,worship_songs.csv differs in chorus (similarity 0.40) for this likely matching song.,0.40,db_chorus=4 5 1 4 4 5 1 4 1 3 4 1 4 3 4 1 4 1 3 4 1 4 1 4 1 4 1 4 1 4 | csv_chorus=4 5 1 4 4 5 1 4 1 4 1 4
Do It Again,Elevation Worship,,Do It Again,Elevation Worship,worship_songs.csv differs in intro (similarity 0.25) for this likely matching song.,0.25,db_intro=4 1 | csv_intro=1 5 1 5
Do It Again,Elevation Worship,,Do It Again,Elevation Worship,worship_songs.csv differs in intro (similarity 0.25) for this likely matching song.,0.25,db_intro=4 1 | csv_intro=4 b7 4 b7
Do It Again,Elevation Worship,,Do It Again,Elevation Worship,worship_songs.csv differs in chorus (similarity 0.23) for this likely matching song.,0.23,db_chorus=4 5 1 4 4 5 1 4 1 3 4 1 4 3 4 1 4 1 3 4 1 4 1 4 1 4 1 4 1 4 | csv_chorus=1 2 5 1 1 2 5 1 5 1 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 5 1 5 1 5 1 5 1 5 1 5 1
Grace So Glorious,Elevation Worship,,Grace So Glorious,Elevation Worship,worship_songs.csv differs in intro (similarity 0.29) for this likely matching song.,0.29,db_intro=1 3m 5 2 1 3m 2 | csv_intro=4 6m 1 5 4 6m 5
Great Things (Worth It All),Elevation Worship,,Great Things (Worth It All),Elevation Worship,worship_songs.csv differs in chorus (similarity 0.50) for this likely matching song.,0.50,db_chorus=2m 6m 5 1 4 1 6m 4 1 | csv_chorus=2m 6m 5 1 4 1 6m 4 1 2m 6m 5 1 4 1 6m 4 1
Great Things Worth It All,Elevation Worship,,Great Things (Worth It All),Elevation Worship,worship_songs.csv differs in chorus (similarity 0.50) for this likely matching song.,0.50,db_chorus=2m 6m 5 1 4 1 6m 4 1 | csv_chorus=2m 6m 5 1 4 1 6m 4 1 2m 6m 5 1 4 1 6m 4 1
