artist_name,track_name,spotify_song_id,spotify_artist_id,display_key,genre,parse_status,issue_count,priority_score,issue_types,issue_summary,source_version_count,section_snapshot,suggested_search_query,review_status,review_notes,override_action,override_changes,source_urls
Bethel Music,Holy Forever,6uKEqHuYJSTJzXVpsyYEIc,26T4yOaOoFJvUvxR87Y9HO,F,ambient,sections_explicit,2,100,title_family_variant_conflict | odd_accidental,"Holy Forever has a chorus that is broadly similar to Chris Tomlin's version, but the accidentals differ (b6 vs none). || verse_2 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 4 1 6m b6 4 1 4 1 6m b6 4 6m b6 4",1,verse=4 1 6m b6 4 1 4 1 6m b6 4 6m b6 4 | chorus=2m b6 1 b2 1,Bethel Music Holy Forever chords,,,,,
Byron Cage,I Will Bless the Lord - Live,5Kt3OBConX9X0FSHZt39tI,1bxsoj9E6Z2GoHVIswbRez,F,gospel,unsectioned_full_song,2,100,source_version_conflict | no_sections,"Imported versions disagree for this same song. Active parse status is unsectioned_full_song, alternate version is unsectioned_full_song, and progression similarity is 0.44. || No labeled sections were parsed; this song is currently using a full-song fallback only.",4,full_song=3 6 3 6 3 6 3 6 3 6 3 6 #4m b6 b2m b2 #4m 3/b6 #4m 6 b7 7 3 6 3 6 3 6 3 6 3 6 3 6 #4m b6 b2m b2 #4m 3/b6 #4m 6 b7 7 4 b7 4 b7 4 b7 4 b7 4 b7,Byron Cage I Will Bless the Lord - Live chords,,,,,
Casting Crowns,Praise You In This Storm,4Zyf0pjpdBBIfp4oax9PG5,6eJqAWJdd8JhAN1pQGie4r,G,rock,sections_explicit,2,100,source_version_conflict | repeated_section_disagreement,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.82. || verse occurrences differ more than expected (verse_1 vs verse_3, similarity 0.58).",7,verse=2m 5 2m 5 6m 2m 4 2m 5 2m 4 5 | chorus=1 5 4 1 6m 2m 4 1 5 4 1 5 4 1,Casting Crowns Praise You In This Storm chords,,,,,
Chris Tomlin,Holy Forever,1bfRXeYRGJF8aCxUpQ4yOq,6pRi6EIPXz4QJEOEsBaA0m,C,rock,sections_explicit,2,100,title_family_variant_conflict | source_version_conflict,"Holy Forever has a chorus that is broadly similar to Bethel Music's version, but the accidentals differ (none vs b6). || Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.80.",2,verse=4 1 6m 5 4 1 4 1 6m 5 4 6m 5 4 | chorus=4 6m 5 1/3 6m 2m 5 1 b2 1,Chris Tomlin Holy Forever chords,,,,,
David Crowder Band,How He Loves,6WSFMa721PvfnspCRsGOMh,7DhP3bGT7dzr1dCkkH5mTS,C,rock,sections_explicit,2,100,source_version_conflict | repeated_section_disagreement,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.69. || verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.25). || bridge occurrences differ more than expected (bridge_1 vs bridge_2, similarity 0.50).",5,verse=1 6m 5 4 1 6m 5 4 | chorus=1 6m 5 4 | bridge=1 6m 5 4 1 6m 5 4,David Crowder Band How He Loves chords,,,,,
Ernie Haase & Signature Sound,This Could Be The Dawning Of That Day / Until Then - Medley,5j9JISLF2JH7W9NQmaZwLJ,3Qp9Qtdb5G8QYHWfe5qxi0,C,gospel,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"verse occurrences differ more than expected (verse_1 vs verse_2, similarity 0.39). || verse_2 contains suspicious accidental degrees (#4) inside an otherwise common worship-style pattern: 4 #4 5m b7 1 5 1 4 1m 4 b7 6m 1 2m 1 5 1 4",1,verse=4 #4 5m b7 1 5 1 4 1m 4 b7 6m 1 2m 1 5 1 4 | chorus=4 1 1m 1 2 5 1 3m 6m 1 4 3m 6m 5 2 5 1 | bridge=b6 b6m b2 #4 b7m b6m #4 4m 3,Ernie Haase & Signature Sound This Could Be The Dawning Of That Day / Until Then - Medley chords,,,,,
Hillsong UNITED,Echoes (Till We See The Other Side) - Live,0oHYnQXUrFoIm0xraAmdNG,74cb3MG0x0BOnYNW1uXYnM,G,alt-rock,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"chorus occurrences differ more than expected (chorus_4 vs chorus_7, similarity 0.50). || verse_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 4 1 6m b6 1 b2 1 4 1 4 6m b6 1",2,verse=4 1 6m b6 1 b2 1 4 1 4 6m b6 1 | chorus=6m 1 5 6m 1 5 1 4 1 6m 4 1 | bridge=5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4,Hillsong UNITED Echoes (Till We See The Other Side) - Live chords,,,,,
Hope Darst,Peace Be Still,4epvekncJds5DpsOOjBT9B,0B5924KrMyjdeYqZsPpw36,G,pop,sections_explicit,2,100,source_version_conflict | repeated_section_disagreement,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is sections_explicit, and progression similarity is 0.42. || chorus occurrences differ more than expected (chorus_1 vs chorus_4, similarity 0.06).",2,verse=1 6m 4/1 5 1 6m 4/1 5/7 1 6m 4/1 5/7 6m 4 1 5 | chorus=6m 1 6m 1 6m 1 6m 1 4 6m 1 6m 1 4 1 5,Hope Darst Peace Be Still chords,,,,,
Israel & New Breed,Turn It Around - Live,6prH83kpvtbq7lEh8OM34x,77HU1Zb1VDIFvWKteJii0E,G,gospel,sections_explicit,2,100,source_version_conflict | odd_accidental,"Imported versions disagree for this same song. Active parse status is sections_explicit, alternate version is unsectioned_full_song, and progression similarity is 0.88. || verse_2 contains suspicious accidental degrees (#4) inside an otherwise common worship-style pattern: 5 7m 2m 4 5 7m 2m 4 5 7m 2m 4 5 7m 2m 5 #4 4 1 2m",2,verse=5 7m 2m 4 5 7m 2m 4 5 7m 2m 4 5 7m 2m 5 #4 4 1 2m | chorus=5 4/5 1 4 5 1m 2m b3 4 5 | bridge=1 3m 6 2m 5 1 6m b7 5/7 2m/5 5 1 3m 6 2m 5 1 6m 5/7 2m 5 1 3m 6 2m 5 1 6m 5/7 2m 5 1 3m 6 2m 5 1 6m 5/7 2m 5 1 7/b3 3m 2m 1 7m 6m 5 5/4 6m/5,Israel & New Breed Turn It Around - Live chords,,,,,
Jadon Lavik,I Need Thee,6WD6IVP2clFYZVTOUMqloC,4LIG4IMVuzGJjAhMxXtll1,Bb,alt-rock,sections_explicit,2,100,repeated_section_disagreement | odd_accidental,"verse occurrences differ more than expected (verse_1 vs verse_3, similarity 0.08). || chorus_1 contains suspicious accidental degrees (b6) inside an otherwise common worship-style pattern: 5 b7 4 b6 4 1 5 1",1,verse=6 2m 6 3 #4m 7 3 6 6 6 2 7m 6 3 6 | chorus=5 b7 4 b6 4 1 5 1,Jadon Lavik I Need Thee chords,,,,,
